iterations,auction_name,recipe,num_of_agents,mean_optimal_count,mean_auction_count,count_ratio,mean_optimal_gft,mean_auction_total_gft,total_gft_ratio,mean_auction_market_gft,market_gft_ratio
50,SBB Ascending Prices,1:1,100,49.76,49.28,99.03,24293.01,24178.71,99.53,24178.71,99.53
50,SBB Ascending Prices,1:1,1000,500.32,499.9,99.91,250251.89,250147.47,99.96,250147.47,99.96
50,SBB Ascending Prices,1:1:1,100,49.8,49.38,99.15,49633.73,49485.55,99.7,49485.55,99.7
50,SBB Ascending Prices,1:1:1,1000,499.74,499.3,99.91,497824.11,497646.7,99.96,497646.7,99.96
50,SBB Ascending Prices,2:1,100,50.32,49.8,98.96,24893.68,24718.98,99.3,24718.98,99.3
50,SBB Ascending Prices,2:1,1000,500.9,500.24,99.86,250731.82,250486.58,99.9,250486.58,99.9
50,SBB Ascending Prices,1:1,100,49.84,49.42,99.15,24892.56,24783.57,99.56,24783.57,99.56
50,SBB Ascending Prices,1:1,1000,502.82,502.34,99.9,249953.99,249835.14,99.95,249835.14,99.95
50,SBB Ascending Prices,1:1:1,100,49.28,48.84,99.1,48903.03,48727.36,99.64,48727.36,99.64
50,SBB Ascending Prices,1:1:1,1000,499.2,498.68,99.89,497587.61,497399.8,99.96,497399.8,99.96
50,SBB Ascending Prices,2:1,100,49.92,49.22,98.59,24895.17,24650.08,99.02,24650.08,99.02
50,SBB Ascending Prices,2:1,1000,501.3,500.72,99.88,249454.35,249254.77,99.92,249254.77,99.92
50,SBB Ascending Prices,1:1,100,49.8,49.3,98.99,25089.7,24965.1,99.5,24965.1,99.5
50,SBB Ascending Prices,1:1,1000,500.86,500.48,99.92,249980.69,249886.08,99.96,249886.08,99.96
50,SBB Ascending Prices,1:1:1,100,49.62,49.1,98.95,48865.5,48659.03,99.58,48659.03,99.58
50,SBB Ascending Prices,1:1:1,1000,499.28,498.82,99.9,497417.44,497256.76,99.97,497256.76,99.97
50,SBB Ascending Prices,2:1,100,50.18,49.62,98.88,25172.31,24970.64,99.2,24970.64,99.2
50,SBB Ascending Prices,2:1,1000,499.72,499.04,99.86,249378.19,249120.01,99.9,249120.01,99.9
