recipe,external_wins_gft,tie_gft,ascending_wins_gft,external_wins_k,tie_k,ascending_wins_k,external_wins,tie,ascending_wins
"(1, 1)",0,100,0,0,100,0,0,20,0
"(1, 2)",0,100,0,0,100,0,0,20,0
"(1, 4)",0,100,0,0,100,0,0,20,0
"(1, 8)",0,100,0,0,100,0,0,20,0
"(2, 1)",60,0,40,0,100,0,12,0,8
"(2, 2)",50,20,30,0,100,0,10,4,6
"(2, 3)",40,5,55,0,100,0,8,1,11
"(2, 4)",30,5,65,0,100,0,6,1,13
"(1, 1, 1)",0,100,0,0,100,0,0,20,0
"(1, 1, 2)",0,100,0,0,100,0,0,20,0
"(1, 2, 2)",40,10,50,0,100,0,8,2,10
"(1, 2, 3)",25,10,65,0,100,0,5,2,13
"(2, 2, 2)",55,0,45,0,100,0,11,0,9
"(2, 2, 3)",50,0,50,0,100,0,10,0,10
"(2, 2, 4)",50,0,50,0,100,0,10,0,10
"(2, 2, 5)",40,5,55,0,100,0,8,1,11
"(2, 2, 6)",45,5,50,0,100,0,9,1,10
"(2, 2, 7)",50,0,50,0,100,0,10,0,10
"(2, 2, 8)",45,5,50,0,100,0,9,1,10
"(2, 2, 9)",50,0,50,0,100,0,10,0,10
"(2, 3, 1)",45,0,55,0,100,0,9,0,11
"(2, 3, 2)",50,0,50,0,100,0,10,0,10
"(2, 3, 3)",45,0,55,0,100,0,9,0,11
"(2, 3, 4)",25,0,75,0,100,0,5,0,15
"(2, 3, 5)",55,0,45,0,100,0,11,0,9
"(2, 3, 6)",65,0,35,0,100,0,13,0,7
"(2, 3, 7)",45,0,55,0,100,0,9,0,11
"(2, 3, 8)",70,0,30,0,100,0,14,0,6
"(2, 3, 9)",35,5,60,0,100,0,7,1,12
"(2, 4, 1)",65,5,30,0,100,0,13,1,6
"(2, 4, 2)",45,0,55,0,100,0,9,0,11
"(2, 4, 3)",50,0,50,0,100,0,10,0,10
"(2, 4, 4)",30,0,70,0,100,0,6,0,14
"(2, 4, 5)",55,0,45,0,100,0,11,0,9
"(2, 4, 6)",45,0,55,0,100,0,9,0,11
"(2, 4, 7)",45,0,55,0,100,0,9,0,11
"(2, 4, 8)",55,0,45,0,100,0,11,0,9
"(2, 4, 9)",60,5,35,0,100,0,12,1,7
"(2, 5, 1)",60,0,40,0,100,0,12,0,8
"(2, 5, 2)",55,0,45,0,100,0,11,0,9
"(2, 5, 3)",35,0,65,0,100,0,7,0,13
"(2, 5, 4)",75,0,25,0,100,0,15,0,5
"(2, 5, 5)",75,0,25,0,100,0,15,0,5
"(2, 5, 6)",60,0,40,0,100,0,12,0,8
"(2, 5, 7)",45,5,50,0,100,0,9,1,10
"(2, 5, 8)",55,0,45,0,100,0,11,0,9
"(2, 5, 9)",70,0,30,0,100,0,14,0,6
"(2, 6, 1)",45,0,55,0,100,0,9,0,11
"(2, 6, 2)",55,0,45,0,100,0,11,0,9
"(2, 6, 3)",70,0,30,0,100,0,14,0,6
"(2, 6, 4)",50,0,50,0,100,0,10,0,10
"(2, 6, 5)",40,0,60,0,100,0,8,0,12
"(2, 6, 6)",55,0,45,0,100,0,11,0,9
"(2, 6, 7)",50,0,50,0,100,0,10,0,10
"(2, 6, 8)",55,0,45,0,100,0,11,0,9
"(2, 6, 9)",35,0,65,0,100,0,7,0,13
"(2, 7, 1)",50,0,50,0,100,0,10,0,10
"(2, 7, 2)",60,5,35,0,100,0,12,1,7
"(2, 7, 3)",50,0,50,0,100,0,10,0,10
"(2, 7, 4)",40,0,60,0,100,0,8,0,12
"(2, 7, 5)",70,0,30,0,100,0,14,0,6
"(2, 7, 6)",55,0,45,0,100,0,11,0,9
"(2, 7, 7)",45,0,55,0,100,0,9,0,11
"(2, 7, 8)",50,0,50,0,100,0,10,0,10
"(2, 7, 9)",40,0,60,0,100,0,8,0,12
"(2, 8, 1)",70,0,30,0,100,0,14,0,6
"(2, 8, 2)",45,0,55,0,100,0,9,0,11
"(2, 8, 3)",45,0,55,0,100,0,9,0,11
"(2, 8, 4)",50,0,50,0,100,0,10,0,10
"(2, 8, 5)",50,0,50,0,100,0,10,0,10
"(2, 8, 6)",75,0,25,0,100,0,15,0,5
"(2, 8, 7)",45,0,55,0,100,0,9,0,11
"(2, 8, 8)",35,0,65,0,100,0,7,0,13
"(2, 8, 9)",65,0,35,0,100,0,13,0,7
"(2, 9, 1)",60,0,40,0,100,0,12,0,8
"(2, 9, 2)",50,0,50,0,100,0,10,0,10
"(2, 9, 3)",40,0,60,0,100,0,8,0,12
"(2, 9, 4)",50,0,50,0,100,0,10,0,10
