iterations,auction_name,recipe,num_of_agents,mean_optimal_count,mean_auction_count,count_ratio,mean_optimal_gft,mean_auction_total_gft,total_gft_ratio,mean_auction_market_gft,market_gft_ratio
50000,SBB Ascending Prices,1:1:1,2,1.0,0.53,52.65,756.57,531.64,70.27,531.64,70.27
50000,SBB Ascending Prices,1:1:1,3,1.5,1.02,67.82,1241.58,1022.36,82.34,1022.36,82.34
50000,SBB Ascending Prices,1:1:1,4,2.0,1.51,75.52,1728.2,1514.24,87.62,1514.24,87.62
50000,SBB Ascending Prices,1:1:1,5,2.5,2.02,80.62,2230.96,2023.69,90.71,2023.69,90.71
50000,SBB Ascending Prices,1:1:1,10,5.0,4.51,90.09,4709.01,4508.72,95.75,4508.72,95.75
50000,SBB Ascending Prices,1:1:1,15,7.51,7.02,93.42,7210.03,7016.04,97.31,7016.04,97.31
50000,SBB Ascending Prices,1:1:1,25,12.52,12.02,96.03,12230.35,12037.78,98.43,12037.78,98.43
50000,SBB Ascending Prices,1:1:1,50,25.04,24.53,98.0,24745.72,24555.28,99.23,24555.28,99.23
50000,SBB Ascending Prices,1:1:1,100,50.01,49.51,99.0,49750.63,49561.83,99.62,49561.83,99.62
50000,SBB Ascending Prices,1:1:1,500,250.17,249.67,99.79,250113.5,249925.0,99.92,249925.0,99.92
50000,SBB Ascending Prices,1:1:1,1000,500.39,499.88,99.89,500589.18,500399.36,99.96,500399.36,99.96
50000,SBB External Competition,1:1:1,2,1.0,0.53,52.72,752.82,529.97,70.4,529.97,70.4
50000,SBB External Competition,1:1:1,3,1.51,1.02,67.95,1244.18,1025.14,82.39,1025.14,82.39
50000,SBB External Competition,1:1:1,4,2.0,1.51,75.71,1728.7,1516.76,87.74,1516.76,87.74
50000,SBB External Competition,1:1:1,5,2.5,2.02,80.54,2231.22,2023.66,90.7,2023.66,90.7
50000,SBB External Competition,1:1:1,10,5.0,4.51,90.11,4717.18,4517.93,95.78,4517.93,95.78
50000,SBB External Competition,1:1:1,15,7.5,7.01,93.38,7204.93,7010.13,97.3,7010.13,97.3
50000,SBB External Competition,1:1:1,25,12.52,12.02,96.06,12219.8,12029.5,98.44,12029.5,98.44
50000,SBB External Competition,1:1:1,50,25.02,24.52,98.0,24741.33,24550.53,99.23,24550.53,99.23
50000,SBB External Competition,1:1:1,100,50.04,49.53,98.99,49788.94,49598.18,99.62,49598.18,99.62
50000,SBB External Competition,1:1:1,500,250.19,249.69,99.8,250134.34,249946.36,99.92,249946.36,99.92
50000,SBB External Competition,1:1:1,1000,500.36,499.86,99.89,500475.53,500287.02,99.96,500287.02,99.96
50000,SBB Ascending Prices,1:1:1:1:1,2,1.0,0.54,54.26,1474.35,1102.95,74.81,1102.95,74.81
50000,SBB Ascending Prices,1:1:1:1:1,3,1.5,1.03,68.43,2429.1,2056.45,84.66,2056.45,84.66
50000,SBB Ascending Prices,1:1:1:1:1,4,2.0,1.53,76.18,3421.24,3061.24,89.48,3061.24,89.48
50000,SBB Ascending Prices,1:1:1:1:1,5,2.5,2.02,80.74,4395.85,4041.62,91.94,4041.62,91.94
50000,SBB Ascending Prices,1:1:1:1:1,10,5.0,4.51,90.2,9359.43,9025.71,96.43,9025.71,96.43
50000,SBB Ascending Prices,1:1:1:1:1,15,7.5,7.01,93.41,14355.12,14024.7,97.7,14024.7,97.7
50000,SBB Ascending Prices,1:1:1:1:1,25,12.51,12.02,96.05,24383.52,24063.58,98.69,24063.58,98.69
50000,SBB Ascending Prices,1:1:1:1:1,50,25.01,24.51,98.0,49379.98,49061.57,99.36,49061.57,99.36
50000,SBB Ascending Prices,1:1:1:1:1,100,50.0,49.5,99.0,99418.72,99103.59,99.68,99103.59,99.68
50000,SBB Ascending Prices,1:1:1:1:1,500,250.16,249.66,99.79,500143.99,499827.56,99.94,499827.56,99.94
50000,SBB Ascending Prices,1:1:1:1:1,1000,500.31,499.81,99.9,1000977.93,1000664.51,99.97,1000664.51,99.97
50000,SBB External Competition,1:1:1:1:1,2,1.0,0.54,54.21,1471.13,1100.21,74.79,1100.21,74.79
50000,SBB External Competition,1:1:1:1:1,3,1.49,1.02,68.58,2416.51,2050.16,84.84,2050.16,84.84
50000,SBB External Competition,1:1:1:1:1,4,2.0,1.52,76.13,3412.91,3049.71,89.36,3049.71,89.36
50000,SBB External Competition,1:1:1:1:1,5,2.5,2.02,80.69,4396.41,4041.81,91.93,4041.81,91.93
50000,SBB External Competition,1:1:1:1:1,10,5.01,4.52,90.17,9377.51,9041.35,96.42,9041.35,96.42
50000,SBB External Competition,1:1:1:1:1,15,7.5,7.01,93.39,14368.3,14037.72,97.7,14037.72,97.7
50000,SBB External Competition,1:1:1:1:1,25,12.51,12.01,96.02,24384.28,24059.61,98.67,24059.61,98.67
50000,SBB External Competition,1:1:1:1:1,50,25.03,24.53,97.99,49447.75,49127.38,99.35,49127.38,99.35
50000,SBB External Competition,1:1:1:1:1,100,50.03,49.53,99.0,99455.13,99137.9,99.68,99137.9,99.68
50000,SBB External Competition,1:1:1:1:1,500,250.18,249.68,99.8,500224.68,499910.83,99.94,499910.83,99.94
50000,SBB External Competition,1:1:1:1:1,1000,500.31,499.81,99.89,1001017.92,1000705.05,99.97,1000705.05,99.97
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,2,1.0,0.55,55.01,2902.85,2237.79,77.09,2237.79,77.09
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,3,1.51,1.03,68.5,4832.35,4139.69,85.67,4139.69,85.67
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,4,2.0,1.53,76.4,6788.13,6133.7,90.36,6133.7,90.36
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,5,2.5,2.02,80.7,8750.43,8098.1,92.55,8098.1,92.55
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,10,5.0,4.51,90.16,18695.65,18079.53,96.7,18079.53,96.7
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,15,7.51,7.01,93.39,28686.36,28085.71,97.91,28085.71,97.91
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,25,12.51,12.01,96.02,48667.56,48084.59,98.8,48084.59,98.8
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,50,25.01,24.51,97.99,98681.25,98102.85,99.41,98102.85,99.41
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,100,50.03,49.53,98.99,198922.5,198349.42,99.71,198349.42,99.71
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,500,250.12,249.62,99.79,1000040.45,999476.25,99.94,999476.25,99.94
50000,SBB Ascending Prices,1:1:1:1:1:1:1:1:1,1000,500.3,499.8,99.9,2002046.87,2001484.51,99.97,2001484.51,99.97
50000,SBB External Competition,1:1:1:1:1:1:1:1:1,2,1.0,0.55,54.94,2904.55,2238.08,77.05,2238.08,77.05
50000,SBB External Competition,1:1:1:1:1:1:1:1:1,3,1.5,1.03,68.73,4817.93,4135.37,85.83,4135.37,85.83
50000,SBB External Competition,1:1:1:1:1:1:1:1:1,4,2.0,1.52,76.0,6741.88,6075.77,90.12,6075.77,90.12
50000,SBB External Competition,1:1:1:1:1:1:1:1:1,5,2.5,2.02,80.83,8754.38,8106.39,92.6,8106.39,92.6
50000,SBB External Competition,1:1:1:1:1:1:1:1:1,10,5.0,4.51,90.25,18674.39,18065.96,96.74,18065.96,96.74
50000,SBB External Competition,1:1:1:1:1:1:1:1:1,15,7.51,7.02,93.4,28721.32,28122.22,97.91,28122.22,97.91
50000,SBB External Competition,1:1:1:1:1:1:1:1:1,25,12.5,12.0,96.04,48634.4,48051.83,98.8,48051.83,98.8
50000,SBB External Competition,1:1:1:1:1:1:1:1:1,50,25.01,24.51,98.01,98709.41,98134.4,99.42,98134.4,99.42
50000,SBB External Competition,1:1:1:1:1:1:1:1:1,100,50.03,49.53,99.0,198840.77,198271.71,99.71,198271.71,99.71
