stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:4,2,1.00,2.929,1.00,1565.28,1565.28,0.63,59.24,1273.43,60.826,1273.43,60.826,0.63,59.24,1244.19,59.380,1244.19,59.380
Average,1:4,3,1.46,15.757,1.46,2573.39,2573.39,1.13,78.58,2316.04,83.573,2316.04,83.573,1.13,78.58,2277.42,81.903,2277.42,81.903
Average,1:4,4,1.96,29.999,1.96,3615.68,3615.68,1.64,85.00,3357.89,91.581,3357.89,91.581,1.64,85.00,3308.61,89.992,3308.61,89.992
Average,1:4,5,2.51,40.727,2.51,4721.97,4721.97,2.16,86.88,4447.31,93.328,4447.31,93.328,2.16,86.88,4392.47,92.097,4392.47,92.097
Average,1:4,10,5.00,65.794,5.00,9752.15,9752.15,4.72,94.43,9516.26,97.440,9516.26,97.440,4.72,94.43,9458.96,96.829,9458.96,96.829
Average,1:4,15,7.53,76.205,7.53,14741.33,14741.33,7.20,95.66,14473.58,98.088,14473.58,98.088,7.20,95.66,14421.44,97.733,14421.44,97.733
Average,1:4,25,12.57,85.111,12.57,24867.78,24867.78,12.24,97.37,24598.87,98.872,24598.87,98.872,12.24,97.37,24549.75,98.667,24549.75,98.667
Average,1:4,50,25.20,92.321,25.20,50109.96,50109.96,24.90,98.79,49869.39,99.512,49869.39,99.512,24.90,98.79,49803.29,99.379,49803.29,99.379
Average,1:4,100,49.87,96.056,49.87,99080.33,99080.33,49.60,99.46,98866.08,99.784,98866.08,99.784,49.60,99.46,98803.37,99.721,98803.37,99.721
Average,1:4,500,249.89,99.202,249.89,499373.18,499373.18,249.56,99.86,499104.34,99.946,499104.34,99.946,249.56,99.86,499037.86,99.932,499037.86,99.932
Average,1:4,1000,499.24,99.600,499.24,996835.27,996835.27,498.93,99.93,996582.89,99.974,996582.89,99.974,498.93,99.93,996520.44,99.968,996520.44,99.968
