stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:16,2,0.97,2.020,0.97,1750597.55,1750597.55,0.72,69.69,1612447.04,70.965,1612447.04,70.965,0.72,69.69,1594153.24,69.512,1594153.24,69.512
Average,1:16,3,1.48,16.767,1.48,2435657.38,2435657.38,1.25,85.45,2370007.43,90.673,2370007.43,90.673,1.25,85.45,2354208.71,88.856,2354208.71,88.856
Average,1:16,4,1.95,29.494,1.95,4292128.54,4292128.54,1.70,88.48,4211692.52,94.709,4211692.52,94.709,1.70,88.48,4184095.95,93.397,4184095.95,93.397
Average,1:16,5,2.52,41.040,2.52,4861687.61,4861687.61,2.20,88.43,4803839.55,95.741,4803839.55,95.741,2.20,88.43,4785574.56,94.784,4785574.56,94.784
Average,1:16,10,4.99,65.985,4.99,9483734.00,9483734.00,4.72,94.86,9418531.98,98.591,9418531.98,98.591,4.72,94.86,9400380.17,98.210,9400380.17,98.210
Average,1:16,15,7.44,75.957,7.44,14958305.89,14958305.89,7.18,96.57,14881435.55,99.057,14881435.55,99.057,7.18,96.57,14857574.37,98.826,14857574.37,98.826
Average,1:16,25,12.48,85.025,12.48,22686396.96,22686396.96,12.30,98.56,22641743.34,99.640,22641743.34,99.640,12.30,98.56,22619956.43,99.486,22619956.43,99.486
Average,1:16,50,25.05,92.282,25.05,43224474.17,43224474.17,24.82,99.06,43178830.92,99.774,43178830.92,99.774,24.82,99.06,43147089.64,99.684,43147089.64,99.684
Average,1:16,100,49.83,96.055,49.83,91110535.68,91110535.68,49.56,99.46,91037175.11,99.872,91037175.11,99.872,49.56,99.46,91014080.50,99.833,91014080.50,99.833
Average,1:16,500,250.34,99.203,250.36,464602863.03,464602863.03,250.17,99.93,464544213.76,99.980,464544213.76,99.980,250.17,99.92,464516079.06,99.968,464516079.06,99.968
Average,1:16,1000,500.10,99.600,500.29,911985951.21,911985951.21,500.09,99.99,911938485.66,99.991,911938485.66,99.991,500.09,99.96,911901621.77,99.984,911901621.77,99.984
