stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,0.90,3.636,0.90,1569955.88,1569955.88,0.43,40.00,1233294.63,42.270,1233294.63,42.270,0.43,40.00,1233294.63,42.270,1233294.63,42.270
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.37,21.111,1.37,2031630.02,2031630.02,0.89,63.83,1845687.35,73.085,1845687.35,73.085,0.89,63.83,1845687.35,73.085,1845687.35,73.085
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,1.90,40.909,1.90,3429900.25,3429900.25,1.40,74.64,3256940.10,86.540,3256940.10,86.540,1.40,74.64,3256940.10,86.540,3256940.10,86.540
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.39,54.191,2.39,5037072.10,5037072.10,1.93,81.71,4903488.48,93.578,4903488.48,93.578,1.93,81.71,4903488.48,93.578,4903488.48,93.578
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,4.92,79.031,4.92,7973082.33,7973082.33,4.40,89.57,7848336.06,97.508,7848336.06,97.508,4.40,89.57,7848336.06,97.508,7848336.06,97.508
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.32,85.998,7.32,13432923.91,13432923.91,6.86,93.81,13337759.72,98.719,13337759.72,98.719,6.86,93.81,13337759.72,98.719,13337759.72,98.719
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.35,91.796,12.35,22812426.34,22812426.34,11.85,95.98,22725982.85,99.148,22725982.85,99.148,11.85,95.98,22725982.85,99.148,22725982.85,99.148
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,24.78,95.938,24.78,43935492.22,43935492.22,24.27,97.95,43854495.27,99.632,43854495.27,99.632,24.27,97.95,43854495.27,99.632,43854495.27,99.632
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,49.60,97.978,49.60,90476857.89,90476857.89,49.15,99.07,90385488.07,99.858,90385488.07,99.858,49.15,99.07,90385488.07,99.858,90385488.07,99.858
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,249.53,99.599,249.53,460723558.82,460723558.82,249.02,99.79,460642345.09,99.967,460642345.09,99.967,249.02,99.79,460642345.09,99.967,460642345.09,99.967
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,499.58,99.799,499.58,913066805.64,913066805.64,499.05,99.89,912983902.52,99.982,912983902.52,99.982,499.05,99.89,912983902.52,99.982,912983902.52,99.982
