stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.01,9.242,1.01,135589.98,135589.98,0.59,49.84,94727.51,54.785,84827.29,50.481,0.18,9.24,28034.16,14.179,18133.95,9.874,0.52,42.87,110580.35,46.145,110580.35,46.145,0.52,42.87,110580.35,46.145,110580.35,46.145
Average,1:1,3,1.55,27.676,1.55,164932.91,164932.91,1.07,66.76,146127.61,78.173,132821.19,71.845,0.60,27.67,103512.01,42.548,80449.32,31.504,1.02,62.82,141741.20,70.696,141741.20,70.696,1.02,62.82,141741.20,70.696,141741.20,70.696
Average,1:1,4,1.89,39.494,1.89,186488.63,186488.63,1.46,74.79,173407.46,85.945,163139.94,80.468,0.91,39.49,130527.80,58.225,95510.61,41.958,1.40,72.17,166357.27,79.814,166357.27,79.814,1.40,72.17,166357.27,79.814,166357.27,79.814
Average,1:1,5,2.55,54.474,2.55,292578.72,292578.72,2.09,81.54,281002.86,93.753,261823.62,87.019,1.56,54.47,248040.62,76.464,198992.00,58.169,2.06,80.58,277241.73,89.222,277241.73,89.222,2.06,80.58,277241.73,89.222,277241.73,89.222
Average,1:1,10,4.99,78.680,5.00,612533.86,612533.86,4.53,90.71,609478.26,98.791,596340.56,94.134,4.00,78.70,587485.78,95.098,507138.08,78.605,4.53,91.02,600640.80,96.484,600640.80,96.484,4.53,90.92,600640.80,96.484,600640.80,96.484
Average,1:1,15,7.43,86.078,7.44,797790.92,797790.92,6.96,93.46,794554.01,99.273,774295.06,94.940,6.44,86.08,787343.16,97.823,720753.76,85.105,6.97,93.63,788809.72,97.559,788809.72,97.559,6.97,93.60,788809.72,97.559,788809.72,97.559
Average,1:1,25,12.37,91.719,12.38,1340827.30,1340827.30,11.93,96.35,1338400.27,99.802,1311059.77,97.676,11.38,91.72,1332364.86,99.266,1235807.38,91.225,11.92,96.39,1330787.90,98.818,1330787.90,98.818,11.92,96.34,1330787.90,98.818,1330787.90,98.818
Average,1:1,50,25.06,95.971,25.09,2792483.79,2792483.79,24.58,98.00,2790851.13,99.938,2751081.76,98.457,24.09,95.97,2788203.83,99.815,2685797.69,95.435,24.55,97.94,2780905.83,99.297,2780905.83,99.297,24.55,97.84,2780905.83,99.297,2780905.83,99.297
Average,1:1,100,50.18,97.996,50.24,5771876.29,5771876.29,49.73,98.98,5771408.07,99.984,5748441.52,99.214,49.24,97.99,5770269.69,99.958,5692028.80,97.933,49.71,99.07,5761069.24,99.680,5761069.24,99.680,49.71,98.95,5761069.24,99.680,5761069.24,99.680
Average,1:1,500,250.03,99.599,250.20,28561740.35,28561740.35,249.66,99.78,28561637.08,99.999,28536304.19,99.862,249.20,99.59,28561403.93,99.998,28477756.33,99.573,249.74,99.88,28553047.68,99.947,28553047.68,99.947,249.74,99.81,28553047.68,99.947,28553047.68,99.947
Average,1:1,1000,499.56,99.799,499.94,56422682.82,56422682.82,499.41,99.89,56422632.49,99.999,56397259.35,99.948,498.94,99.79,56422532.69,99.999,56347124.50,99.809,499.46,99.98,56414357.30,99.971,56414357.30,99.971,499.46,99.90,56414357.30,99.971,56414357.30,99.971
