stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:8,2,0.96,1.818,0.96,874877.75,874877.75,0.72,69.39,829314.02,70.373,829314.02,70.373,0.72,69.39,817797.67,68.778,817797.67,68.778
Average,1:8,3,1.45,15.858,1.45,1275133.85,1275133.85,1.14,79.69,1218700.34,85.838,1218700.34,85.838,1.14,79.69,1212132.12,84.618,1212132.12,84.618
Average,1:8,4,2.01,31.161,2.01,2016367.98,2016367.98,1.71,85.85,1959384.80,93.321,1959384.80,93.321,1.71,85.85,1944137.24,92.180,1944137.24,92.180
Average,1:8,5,2.44,40.060,2.44,2111875.73,2111875.73,2.20,90.88,2081653.73,96.156,2081653.73,96.156,2.20,90.88,2072946.17,95.078,2072946.17,95.078
Average,1:8,10,4.96,65.640,4.96,5106998.67,5106998.67,4.70,94.87,5055375.42,98.508,5055375.42,98.508,4.70,94.87,5047686.33,97.985,5047686.33,97.985
Average,1:8,15,7.45,75.964,7.45,6896694.98,6896694.98,7.18,96.53,6863102.96,99.086,6863102.96,99.086,7.18,96.53,6851836.44,98.788,6851836.44,98.788
Average,1:8,25,12.48,85.020,12.48,11035017.35,11035017.35,12.18,97.63,11003732.05,99.372,11003732.05,99.372,12.18,97.63,10993949.22,99.222,10993949.22,99.222
Average,1:8,50,24.92,92.247,24.92,21477478.43,21477478.43,24.67,99.00,21446104.01,99.763,21446104.01,99.763,24.67,99.00,21436252.06,99.673,21436252.06,99.673
Average,1:8,100,49.99,96.066,49.99,45784052.61,45784052.61,49.76,99.53,45758692.86,99.889,45758692.86,99.889,49.76,99.53,45740068.36,99.832,45740068.36,99.832
Average,1:8,500,249.50,99.201,249.55,227746512.96,227746512.96,249.34,99.93,227718884.83,99.978,227718884.83,99.978,249.34,99.91,227698509.06,99.966,227698509.06,99.966
Average,1:8,1000,499.49,99.600,499.66,459370440.13,459370440.13,499.48,99.99,459347755.91,99.990,459347755.91,99.990,499.48,99.96,459326017.68,99.984,459326017.68,99.984
