stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1:1:1,2,0.89,4.696,0.89,269028.83,269028.83,0.43,38.63,221564.79,41.292,221564.79,41.292,0.43,38.63,221564.79,41.292,221564.79,41.292
Average,1:1:1:1:1,3,1.40,21.868,1.40,547192.28,547192.28,0.91,63.68,508124.31,72.318,508124.31,72.318,0.91,63.68,508124.31,72.318,508124.31,72.318
Average,1:1:1:1:1,4,1.89,40.378,1.89,983481.89,983481.89,1.43,76.69,943026.11,88.056,943026.11,88.056,1.43,76.69,943026.11,88.056,943026.11,88.056
Average,1:1:1:1:1,5,2.36,53.106,2.36,938072.50,938072.50,1.87,79.72,896555.08,91.676,896555.08,91.676,1.87,79.72,896555.08,91.676,896555.08,91.676
Average,1:1:1:1:1,10,4.85,78.308,4.85,2188991.10,2188991.10,4.37,90.72,2149837.17,97.271,2149837.17,97.271,4.37,90.72,2149837.17,97.271,2149837.17,97.271
Average,1:1:1:1:1,15,7.44,86.218,7.44,3283916.22,3283916.22,6.91,92.87,3233181.52,98.196,3233181.52,98.196,6.91,92.87,3233181.52,98.196,3233181.52,98.196
Average,1:1:1:1:1,25,12.40,91.838,12.40,5300192.58,5300192.58,11.90,95.98,5268218.40,99.116,5268218.40,99.116,11.90,95.98,5268218.40,99.116,5268218.40,99.116
Average,1:1:1:1:1,50,24.86,95.950,24.86,10836457.73,10836457.73,24.40,98.14,10809394.95,99.621,10809394.95,99.621,24.40,98.14,10809394.95,99.621,10809394.95,99.621
Average,1:1:1:1:1,100,49.68,97.979,49.68,22630501.43,22630501.43,49.22,99.07,22606411.34,99.808,22606411.34,99.808,49.22,99.06,22606411.34,99.808,22606411.34,99.808
Average,1:1:1:1:1,500,250.26,99.600,250.27,116129370.30,116129370.30,249.75,99.79,116106018.82,99.960,116106018.82,99.960,249.75,99.79,116106018.82,99.960,116106018.82,99.960
Average,1:1:1:1:1,1000,499.87,99.799,499.89,231008530.64,231008530.64,499.34,99.89,230983819.32,99.979,230983819.32,99.979,499.34,99.89,230983819.32,99.979,230983819.32,99.979
