stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,0.99,5.716,0.99,5724.62,5724.62,0.54,49.24,4477.05,52.964,4477.05,52.964,0.54,49.24,4477.05,52.964,4477.05,52.964
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.49,25.205,1.49,9538.94,9538.94,1.02,69.49,8222.87,78.220,8222.87,78.220,1.02,69.49,8222.87,78.220,8222.87,78.220
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,1.99,43.883,1.99,13495.77,13495.77,1.52,77.41,12225.59,87.827,12225.59,87.827,1.52,77.41,12225.59,87.827,12225.59,87.827
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.49,56.297,2.49,17356.23,17356.23,2.01,81.54,16120.49,91.636,16120.49,91.636,2.01,81.54,16120.49,91.636,16120.49,91.636
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,4.99,79.300,4.99,37183.97,37183.97,4.51,90.46,36022.48,96.716,36022.48,96.716,4.51,90.46,36022.48,96.716,36022.48,96.716
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.49,86.375,7.49,57076.08,57076.08,6.99,93.49,55936.86,97.939,55936.86,97.939,6.99,93.49,55936.86,97.939,55936.86,97.939
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.49,91.906,12.49,97060.97,97060.97,11.99,96.00,95938.39,98.823,95938.39,98.823,11.99,96.00,95938.39,98.823,95938.39,98.823
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,24.99,95.977,24.99,196880.35,196880.35,24.50,98.01,195794.93,99.443,195794.93,99.443,24.50,98.01,195794.93,99.443,195794.93,99.443
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,49.99,97.994,49.99,396626.65,396626.65,49.49,99.01,395563.18,99.730,395563.18,99.730,49.49,99.01,395563.18,99.730,395563.18,99.730
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,250.03,99.599,250.03,1995483.69,1995483.69,249.53,99.79,1994426.17,99.946,1994426.17,99.946,249.53,99.79,1994426.17,99.946,1994426.17,99.946
Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,499.98,99.799,499.98,3992768.35,3992768.35,499.48,99.90,3991720.46,99.973,3991720.46,99.973,499.48,99.90,3991720.46,99.973,3991720.46,99.973
