stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.96,8.484,0.96,92252.53,92252.53,0.54,46.36,65138.68,51.710,55629.89,48.573,0.16,8.48,28502.27,13.832,18993.49,10.694,0.47,39.39,62979.98,43.065,62979.98,43.065,0.47,39.39,62979.98,43.065,62979.98,43.065
Average,1:1,3,1.48,25.454,1.48,166831.77,166831.77,1.06,68.18,157949.31,77.240,151123.98,72.187,0.53,25.45,96912.81,38.869,68566.12,27.871,0.97,62.12,143600.96,69.098,143600.96,69.098,0.97,62.12,143600.96,69.098,143600.96,69.098
Average,1:1,4,1.99,41.388,1.99,230321.49,230321.49,1.52,74.72,217886.99,86.544,200648.15,80.009,1.01,41.38,159745.20,60.202,106811.23,44.079,1.51,75.17,213792.41,83.938,213792.41,83.938,1.51,75.17,213792.41,83.938,213792.41,83.938
Average,1:1,5,2.55,54.939,2.55,230152.65,230152.65,2.03,78.80,215512.79,92.202,196466.08,84.421,1.56,54.96,195644.92,76.635,153422.03,57.897,1.99,76.93,209933.43,86.833,209933.43,86.833,1.99,76.85,209933.43,86.833,209933.43,86.833
Average,1:1,10,5.07,79.011,5.08,538275.03,538275.03,4.61,90.45,534996.01,98.558,520890.96,93.402,4.08,79.06,519009.58,95.343,445808.47,79.644,4.54,89.54,528954.93,95.627,528954.93,95.627,4.54,89.31,528954.93,95.627,528954.93,95.627
Average,1:1,15,7.41,85.944,7.41,843412.08,843412.08,6.88,92.88,839953.81,99.370,818398.33,95.428,6.41,85.95,828739.57,97.822,744861.23,85.454,6.92,93.45,831538.07,97.580,831538.07,97.580,6.92,93.38,831538.07,97.580,831538.07,97.580
Average,1:1,25,12.57,91.890,12.57,1486089.63,1486089.63,12.07,96.03,1484301.11,99.779,1462928.77,97.220,11.57,91.89,1479251.63,99.330,1399880.28,91.892,12.05,95.88,1473833.63,98.580,1473833.63,98.580,12.05,95.83,1473833.63,98.580,1473833.63,98.580
Average,1:1,50,24.86,95.937,24.88,2813554.93,2813554.93,24.39,98.01,2812635.45,99.935,2790247.93,98.406,23.88,95.94,2810189.62,99.834,2730765.36,95.964,24.38,98.06,2804602.22,99.337,2804602.22,99.337,24.38,97.96,2804602.22,99.337,2804602.22,99.337
Average,1:1,100,50.08,97.993,50.12,5586820.42,5586820.42,49.60,98.96,5586209.78,99.986,5555904.79,99.307,49.12,97.99,5585150.45,99.955,5504466.76,97.826,49.63,99.09,5577892.10,99.701,5577892.10,99.701,49.63,99.01,5577892.10,99.701,5577892.10,99.701
Average,1:1,500,249.48,99.598,249.64,28467388.23,28467388.23,249.14,99.79,28467322.30,99.999,28450967.25,99.900,248.64,99.59,28467096.07,99.998,28394391.09,99.626,249.15,99.86,28458663.50,99.940,28458663.50,99.940,249.15,99.80,28458663.50,99.940,28458663.50,99.940
Average,1:1,1000,498.22,99.799,498.56,57063602.12,57063602.12,498.00,99.88,57063566.88,99.999,57046010.14,99.951,497.56,99.79,57063460.46,99.999,56993171.13,99.830,498.03,99.96,57053582.80,99.969,57053582.80,99.969,498.03,99.89,57053582.80,99.969,57053582.80,99.969
