stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:4,2,0.99,2.929,0.99,1620.60,1620.60,0.63,59.54,1288.00,59.638,1288.00,59.638,0.63,59.54,1288.00,59.638,1288.00,59.638
Average,1:4,3,1.46,15.454,1.46,2594.94,2594.94,1.13,79.29,2259.59,82.231,2259.59,82.231,1.13,79.29,2259.59,82.231,2259.59,82.231
Average,1:4,4,2.01,30.737,2.01,3630.89,3630.89,1.68,84.82,3308.25,88.922,3308.25,88.922,1.68,84.82,3308.25,88.922,3308.25,88.922
Average,1:4,5,2.47,40.111,2.47,4600.00,4600.00,2.13,86.61,4273.76,91.579,4273.76,91.579,2.13,86.61,4273.76,91.579,4273.76,91.579
Average,1:4,10,4.97,65.751,4.97,9676.96,9676.96,4.70,94.62,9390.95,96.814,9390.95,96.814,4.70,94.62,9390.95,96.814,9390.95,96.814
Average,1:4,15,7.44,75.937,7.44,14611.13,14611.13,7.12,95.92,14296.18,97.785,14296.18,97.785,7.12,95.92,14296.18,97.785,14296.18,97.785
Average,1:4,25,12.41,84.910,12.41,24534.92,24534.92,12.11,97.57,24235.03,98.750,24235.03,98.750,12.11,97.57,24235.03,98.750,24235.03,98.750
Average,1:4,50,25.04,92.273,25.04,49713.15,49713.15,24.75,98.84,49430.41,99.418,49430.41,99.418,24.75,98.84,49430.41,99.418,49430.41,99.418
Average,1:4,100,50.08,96.072,50.08,99883.80,99883.80,49.79,99.42,99599.71,99.712,99599.71,99.712,49.79,99.42,99599.71,99.712,99599.71,99.712
Average,1:4,500,250.38,99.203,250.38,500114.27,500114.27,250.08,99.88,499811.92,99.939,499811.92,99.939,250.08,99.88,499811.92,99.939,499811.92,99.939
Average,1:4,1000,500.54,99.601,500.54,1000719.59,1000719.59,500.23,99.93,1000429.40,99.970,1000429.40,99.970,500.23,99.93,1000429.40,99.970,1000429.40,99.970
