stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.99,8.165,0.99,397.17,397.17,0.58,49.93,306.40,54.396,273.95,50.689,0.16,8.16,97.37,12.623,64.93,8.916,0.50,42.06,249.98,44.278,249.98,44.278,0.50,42.06,249.98,44.278,249.98,44.278
Average,1:1,3,1.50,25.843,1.50,642.54,642.54,1.08,68.72,567.70,77.308,515.42,71.450,0.55,25.84,335.96,38.164,216.12,25.843,1.00,63.46,500.75,68.415,500.75,68.415,1.00,63.46,500.75,68.415,500.75,68.415
Average,1:1,4,2.00,41.997,2.00,886.84,886.84,1.56,77.05,819.57,87.573,744.34,80.157,1.01,41.99,614.09,59.203,401.51,40.003,1.50,74.08,750.16,80.177,750.16,80.177,1.50,74.08,750.16,80.177,750.16,80.177
Average,1:1,5,2.49,53.932,2.49,1130.73,1130.73,2.05,81.91,1070.63,92.560,975.20,84.610,1.49,53.93,892.41,72.953,602.53,50.135,1.99,79.83,995.98,85.952,995.98,85.952,1.99,79.83,995.98,85.952,995.98,85.952
Average,1:1,10,4.99,78.712,4.99,2377.49,2377.49,4.52,90.47,2338.18,98.219,2179.22,91.621,3.99,78.71,2243.82,93.866,1752.85,73.424,4.50,90.01,2247.01,94.218,2247.01,94.218,4.50,90.01,2247.01,94.218,2247.01,94.218
Average,1:1,15,7.50,86.146,7.50,3629.74,3629.74,7.01,93.53,3601.28,99.182,3415.59,94.090,6.50,86.14,3537.07,97.330,2965.48,81.661,6.99,93.26,3498.81,96.273,3498.81,96.273,6.99,93.26,3498.81,96.273,3498.81,96.273
Average,1:1,25,12.50,91.828,12.50,6123.38,6123.38,12.01,96.09,6105.27,99.697,5897.04,96.305,11.50,91.82,6066.22,99.047,5427.76,88.663,12.00,95.98,5995.38,97.869,5995.38,97.869,12.00,95.98,5995.38,97.869,5995.38,97.869
Average,1:1,50,24.98,95.955,24.98,12356.94,12356.94,24.48,98.01,12347.39,99.922,12117.99,98.077,23.98,95.95,12327.68,99.761,11634.84,94.175,24.48,98.01,12231.86,98.977,12231.86,98.977,24.48,98.01,12231.86,98.977,12231.86,98.977
Average,1:1,100,50.03,97.991,50.03,24875.16,24875.16,49.53,99.00,24870.28,99.980,24631.16,99.019,49.03,97.99,24860.30,99.940,24136.54,97.036,49.53,99.00,24750.07,99.494,24750.07,99.494,49.53,99.00,24750.07,99.494,24750.07,99.494
Average,1:1,500,249.92,99.599,249.92,124698.20,124698.20,249.42,99.80,124697.21,99.999,124450.82,99.801,248.92,99.59,124695.21,99.997,123950.52,99.400,249.42,99.79,124572.01,99.898,124572.01,99.898,249.42,99.79,124572.01,99.898,124572.01,99.898
Average,1:1,1000,499.92,99.799,499.92,249554.29,249554.29,499.42,99.89,249553.80,99.999,249305.95,99.900,498.92,99.79,249552.80,99.999,248806.73,99.700,499.42,99.89,249429.20,99.949,249429.20,99.949,499.42,99.89,249429.20,99.949,249429.20,99.949
