stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.95,6.969,0.95,382.10,382.10,0.54,47.57,289.42,51.537,264.80,48.529,0.13,6.96,79.28,10.931,54.66,7.923,0.53,46.36,260.01,48.590,260.01,48.590,0.53,46.36,260.01,48.590,260.01,48.590
Average,1:1,3,1.47,24.848,1.47,638.52,638.52,1.08,69.39,571.82,77.300,526.37,72.291,0.53,24.84,334.14,35.994,208.05,23.617,0.96,60.90,503.71,66.379,503.71,66.379,0.96,60.90,503.71,66.379,503.71,66.379
Average,1:1,4,1.90,39.090,1.90,849.83,849.83,1.47,75.35,775.63,84.718,707.75,77.426,0.90,39.09,544.44,54.660,325.00,34.674,1.40,72.62,709.59,78.409,709.59,78.409,1.40,72.62,709.59,78.409,709.59,78.409
Average,1:1,5,2.50,55.383,2.50,1113.67,1113.67,2.01,79.72,1043.51,91.092,935.23,81.662,1.50,55.38,891.86,74.982,613.78,51.142,1.98,79.57,964.53,85.495,964.53,85.495,1.98,79.57,964.53,85.495,964.53,85.495
Average,1:1,10,4.98,78.904,4.98,2349.85,2349.85,4.57,92.04,2315.75,98.423,2177.55,92.399,3.98,78.90,2215.26,93.774,1723.25,72.664,4.49,90.54,2229.06,94.688,2229.06,94.688,4.49,90.54,2229.06,94.688,2229.06,94.688
Average,1:1,15,7.66,86.516,7.66,3701.58,3701.58,7.15,93.38,3669.34,99.082,3452.60,93.154,6.66,86.51,3615.37,97.581,3061.81,82.632,7.13,93.01,3564.45,96.135,3564.45,96.135,7.13,93.01,3564.45,96.135,3564.45,96.135
Average,1:1,25,12.32,91.705,12.32,6025.63,6025.63,11.89,96.45,6008.21,99.705,5806.84,96.384,11.32,91.70,5961.29,98.914,5247.49,87.214,11.87,96.31,5912.66,98.054,5912.66,98.054,11.87,96.31,5912.66,98.054,5912.66,98.054
Average,1:1,50,24.60,95.898,24.60,12078.50,12078.50,24.04,97.74,12067.70,99.909,11815.51,97.827,23.60,95.89,12048.39,99.751,11343.86,93.978,24.09,97.93,11952.32,98.939,11952.32,98.939,24.09,97.93,11952.32,98.939,11952.32,98.939
Average,1:1,100,50.05,97.992,50.05,24981.99,24981.99,49.54,98.98,24976.70,99.978,24714.97,98.936,49.05,97.99,24967.37,99.941,24255.28,97.082,49.57,99.05,24863.05,99.522,24863.05,99.522,49.57,99.05,24863.05,99.522,24863.05,99.522
Average,1:1,500,249.44,99.598,249.44,124483.55,124483.55,248.93,99.79,124482.74,99.999,124280.49,99.837,248.44,99.59,124481.14,99.998,123884.93,99.517,248.97,99.81,124366.34,99.905,124366.34,99.905,248.97,99.81,124366.34,99.905,124366.34,99.905
Average,1:1,1000,499.86,99.799,499.86,249320.20,249320.20,499.35,99.89,249319.66,99.999,249046.42,99.890,498.86,99.79,249318.73,99.999,248584.88,99.704,499.33,99.89,249188.37,99.947,249188.37,99.947,499.33,99.89,249188.37,99.947,249188.37,99.947
