stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3:4,2,0.99,2.626,0.99,3658.54,3658.54,0.69,65.75,3173.29,66.962,3173.29,66.962,0.69,65.75,3142.87,66.536,3142.87,66.536
Average,1:2:3:4,3,1.43,14.444,1.43,5420.56,5420.56,1.08,78.48,4797.85,83.638,4797.85,83.638,1.08,78.48,4806.44,83.803,4806.44,83.803
Average,1:2:3:4,4,2.00,30.565,2.00,8053.06,8053.06,1.64,83.98,7346.89,89.901,7346.89,89.901,1.64,83.98,7340.91,89.848,7340.91,89.848
Average,1:2:3:4,5,2.46,40.202,2.46,10372.05,10372.05,2.12,87.32,9685.95,92.682,9685.95,92.682,2.12,87.32,9669.92,92.501,9669.92,92.501
Average,1:2:3:4,10,4.84,65.020,4.84,20780.03,20780.03,4.53,94.05,20211.73,97.175,20211.73,97.175,4.53,94.05,20211.89,97.191,20211.89,97.191
Average,1:2:3:4,15,7.57,76.338,7.57,33301.07,33301.07,7.23,95.46,32649.94,97.976,32649.94,97.976,7.23,95.46,32664.36,98.027,32664.36,98.027
Average,1:2:3:4,25,12.52,85.074,12.52,55989.53,55989.53,12.24,97.88,55449.63,99.033,55449.63,99.033,12.24,97.88,55461.46,99.045,55461.46,99.045
Average,1:2:3:4,50,24.83,92.214,24.83,110482.10,110482.10,24.53,98.78,109911.46,99.467,109911.46,99.467,24.53,98.78,109913.45,99.468,109913.45,99.468
Average,1:2:3:4,100,50.43,96.102,50.43,226152.41,226152.41,50.10,99.35,225490.75,99.703,225490.75,99.703,50.10,99.35,225499.27,99.706,225499.27,99.706
Average,1:2:3:4,500,250.06,99.202,250.06,1122527.69,1122527.69,249.70,99.85,1121842.45,99.938,1121842.45,99.938,249.70,99.85,1121849.97,99.939,1121849.97,99.939
Average,1:2:3:4,1000,501.13,99.601,501.13,2251952.31,2251952.31,500.86,99.94,2251388.59,99.974,2251388.59,99.974,500.86,99.94,2251367.27,99.974,2251367.27,99.974
