stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:2:2,2,1.00,1.010,1.00,1602.71,1602.71,0.50,49.39,1039.26,48.342,1039.26,48.342,0.50,49.39,1026.98,47.853,1026.98,47.853
Average,2:2:2,3,1.46,15.555,1.46,2497.00,2497.00,0.96,69.39,1867.05,72.100,1867.05,72.100,0.96,69.39,1871.70,72.387,1871.70,72.387
Average,2:2:2,4,2.00,31.616,2.00,3671.10,3671.10,1.56,79.29,3115.26,83.712,3115.26,83.712,1.56,79.29,3105.41,83.435,3105.41,83.435
Average,2:2:2,5,2.50,41.030,2.50,4659.94,4659.94,2.03,82.82,4063.95,86.989,4063.95,86.989,2.03,82.82,4036.60,86.319,4036.60,86.319
Average,2:2:2,10,5.00,66.216,5.00,9675.32,9675.32,4.44,89.04,8971.87,92.523,8971.87,92.523,4.44,89.04,8978.30,92.524,8978.30,92.524
Average,2:2:2,15,7.41,75.962,7.41,14446.23,14446.23,6.89,93.12,13784.94,95.364,13784.94,95.364,6.89,93.12,13765.45,95.205,13765.45,95.205
Average,2:2:2,25,12.56,85.168,12.56,24606.39,24606.39,12.02,95.72,23917.39,97.152,23917.39,97.152,12.02,95.72,23898.22,97.055,23898.22,97.055
Average,2:2:2,50,25.15,92.327,25.15,49676.67,49676.67,24.64,97.96,49032.34,98.694,49032.34,98.694,24.64,97.96,49038.87,98.703,49038.87,98.703
Average,2:2:2,100,50.11,96.080,50.11,99676.00,99676.00,49.61,99.01,98981.26,99.306,98981.26,99.306,49.61,99.01,98975.10,99.299,98975.10,99.299
Average,2:2:2,500,249.83,99.202,249.83,498905.45,498905.45,249.33,99.80,498236.54,99.865,498236.54,99.865,249.33,99.80,498203.41,99.858,498203.41,99.858
Average,2:2:2,1000,500.22,99.600,500.22,999159.22,999159.22,499.74,99.90,998494.15,99.933,998494.15,99.933,499.74,99.90,998464.93,99.930,998464.93,99.930
