stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:3,2,0.98,0.808,0.98,1218.69,1218.69,0.56,55.75,834.34,53.359,834.34,53.359,0.56,55.75,832.61,53.305,832.61,53.305
Average,2:3,3,1.54,17.979,1.54,2099.43,2099.43,1.12,77.17,1704.67,80.025,1704.67,80.025,1.12,77.17,1697.37,79.606,1697.37,79.606
Average,2:3,4,1.99,31.313,1.99,2866.73,2866.73,1.57,79.69,2406.80,81.991,2406.80,81.991,1.57,79.69,2413.49,82.058,2413.49,82.058
Average,2:3,5,2.51,41.353,2.51,3561.56,3561.56,2.05,83.03,3069.89,85.306,3069.89,85.306,2.05,83.03,3083.92,85.670,3083.92,85.670
Average,2:3,10,4.95,65.767,4.95,7175.08,7175.08,4.54,92.13,6727.41,93.647,6727.41,93.647,4.54,92.13,6723.74,93.562,6723.74,93.562
Average,2:3,15,7.45,76.038,7.45,11005.84,11005.84,7.01,94.30,10517.35,95.504,10517.35,95.504,7.01,94.30,10490.59,95.257,10490.59,95.257
Average,2:3,25,12.70,85.305,12.70,18776.78,18776.78,12.26,96.60,18288.18,97.374,18288.18,97.374,12.26,96.60,18280.36,97.333,18280.36,97.333
Average,2:3,50,24.89,92.245,24.89,37191.25,37191.25,24.44,98.20,36652.19,98.536,36652.19,98.536,24.44,98.20,36653.80,98.541,36653.80,98.541
Average,2:3,100,49.83,96.057,49.83,74388.42,74388.42,49.40,99.13,73856.39,99.285,73856.39,99.285,49.40,99.13,73872.62,99.306,73872.62,99.306
Average,2:3,500,250.09,99.203,250.09,374368.37,374368.37,249.61,99.80,373830.04,99.856,373830.04,99.856,249.61,99.80,373868.05,99.866,373868.05,99.866
Average,2:3,1000,498.76,99.599,498.76,746664.16,746664.16,498.34,99.91,746133.35,99.928,746133.35,99.928,498.34,99.91,746160.96,99.932,746160.96,99.932
