stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:2,2,0.98,3.434,0.98,350122.28,350122.28,0.56,51.21,292742.10,53.604,292742.10,53.604,0.56,51.21,296257.25,53.558,296257.25,53.558
Average,1:2:2,3,1.53,18.282,1.53,823725.81,823725.81,1.17,77.87,755768.69,85.853,755768.69,85.853,1.17,77.87,754195.28,85.708,754195.28,85.708
Average,1:2:2,4,1.98,29.797,1.98,841969.46,841969.46,1.66,85.25,793281.37,92.047,793281.37,92.047,1.66,85.25,793299.94,91.998,793299.94,91.998
Average,1:2:2,5,2.48,40.262,2.48,1162415.81,1162415.81,2.12,86.11,1133479.35,94.635,1133479.35,94.635,2.12,86.11,1129647.88,94.494,1129647.88,94.494
Average,1:2:2,10,4.93,65.385,4.93,2484250.29,2484250.29,4.52,91.97,2450563.44,97.328,2450563.44,97.328,4.52,91.97,2451778.51,97.301,2451778.51,97.301
Average,1:2:2,15,7.43,75.860,7.43,3376152.48,3376152.48,7.07,95.38,3356520.95,98.572,3356520.95,98.572,7.07,95.38,3357726.43,98.563,3357726.43,98.563
Average,1:2:2,25,12.50,85.022,12.50,5688407.24,5688407.24,12.15,97.24,5663852.14,99.243,5663852.14,99.243,12.15,97.24,5664870.49,99.251,5664870.49,99.251
Average,1:2:2,50,24.92,92.240,24.92,11776181.15,11776181.15,24.56,98.58,11757983.36,99.632,11757983.36,99.632,24.56,98.58,11758321.57,99.634,11758321.57,99.634
Average,1:2:2,100,49.76,96.048,49.76,22723319.06,22723319.06,49.45,99.38,22708527.94,99.822,22708527.94,99.822,49.45,99.38,22708500.69,99.822,22708500.69,99.822
Average,1:2:2,500,249.87,99.202,249.89,112843169.84,112843169.84,249.52,99.85,112819653.98,99.961,112819653.98,99.961,249.52,99.84,112818506.77,99.962,112818506.77,99.962
Average,1:2:2,1000,499.29,99.600,499.38,227171380.38,227171380.38,498.98,99.93,227145603.33,99.981,227145603.33,99.981,498.98,99.92,227144701.87,99.980,227144701.87,99.980
