stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,3:3,2,0.99,0.404,0.99,291219.60,291219.60,0.48,47.87,127421.04,46.226,127421.04,46.226,0.48,47.87,114754.60,45.302,114754.60,45.302
Average,3:3,3,1.48,16.363,1.48,490971.29,490971.29,0.97,70.30,408953.73,75.596,408953.73,75.596,0.97,70.30,382124.52,72.230,382124.52,72.230
Average,3:3,4,2.02,32.121,2.02,701640.38,701640.38,1.49,75.05,617349.12,82.039,617349.12,82.039,1.49,75.05,586233.88,78.962,586233.88,78.962
Average,3:3,5,2.47,40.868,2.47,789626.53,789626.53,1.95,80.45,694504.82,84.928,694504.82,84.928,1.95,80.45,673177.23,83.355,673177.23,83.355
Average,3:3,10,4.96,66.010,4.97,1614867.56,1614867.56,4.50,90.81,1510974.82,93.966,1510974.82,93.966,4.50,90.71,1468738.88,92.420,1468738.88,92.420
Average,3:3,15,7.44,76.130,7.44,2530095.97,2530095.97,6.97,93.76,2410348.52,95.468,2410348.52,95.468,6.97,93.76,2375208.53,94.678,2375208.53,94.678
Average,3:3,25,12.60,85.204,12.60,4313406.25,4313406.25,12.14,96.45,4246825.71,97.740,4246825.71,97.740,12.14,96.45,4215191.63,97.132,4215191.63,97.132
Average,3:3,50,24.96,92.273,24.96,8208901.09,8208901.09,24.47,98.01,8141338.04,98.768,8141338.04,98.768,24.47,98.01,8104363.49,98.553,8104363.49,98.553
Average,3:3,100,50.03,96.075,50.03,17191451.62,17191451.62,49.49,98.92,17097747.11,99.250,17097747.11,99.250,49.49,98.92,17060004.16,99.128,17060004.16,99.128
Average,3:3,500,250.00,99.202,250.03,85961555.32,85961555.32,249.56,99.82,85870805.79,99.862,85870805.79,99.862,249.56,99.81,85837844.92,99.834,85837844.92,99.834
Average,3:3,1000,500.41,99.601,500.61,170650895.78,170650895.78,500.16,99.95,170554939.74,99.936,170554939.74,99.936,500.16,99.90,170518417.41,99.922,170518417.41,99.922
