stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3:4,2,0.92,0.808,0.92,1015574.87,1015574.87,0.67,66.66,908312.81,66.208,908312.81,66.208,0.67,66.66,906905.58,66.150,906905.58,66.150
Average,1:2:3:4,3,1.51,17.373,1.51,1781105.49,1781105.49,1.08,72.22,1700095.90,80.512,1700095.90,80.512,1.08,72.22,1695250.37,80.150,1695250.37,80.150
Average,1:2:3:4,4,2.03,31.313,2.03,1763898.26,1763898.26,1.73,86.16,1651575.82,93.282,1651575.82,93.282,1.73,86.16,1654712.88,93.479,1654712.88,93.479
Average,1:2:3:4,5,2.36,38.222,2.36,2979512.84,2979512.84,2.10,89.94,2908791.21,94.988,2908791.21,94.988,2.10,89.94,2905406.67,95.149,2905406.67,95.149
Average,1:2:3:4,10,4.97,65.768,4.97,4914108.22,4914108.22,4.64,93.68,4861561.57,97.666,4861561.57,97.666,4.64,93.68,4865027.71,97.708,4865027.71,97.708
Average,1:2:3:4,15,7.43,75.915,7.43,8109102.45,8109102.45,7.15,96.37,8046463.31,98.749,8046463.31,98.749,7.15,96.37,8044069.27,98.766,8044069.27,98.766
Average,1:2:3:4,25,12.35,84.878,12.35,12483675.16,12483675.16,11.96,96.84,12439413.19,99.171,12439413.19,99.171,11.96,96.84,12439351.42,99.184,12439351.42,99.184
Average,1:2:3:4,50,24.86,92.225,24.86,24514930.15,24514930.15,24.50,98.56,24460757.69,99.666,24460757.69,99.666,24.50,98.56,24462071.20,99.684,24462071.20,99.684
Average,1:2:3:4,100,50.15,96.078,50.15,50301491.73,50301491.73,49.81,99.32,50256419.17,99.823,50256419.17,99.823,49.81,99.32,50249267.28,99.816,50249267.28,99.816
Average,1:2:3:4,500,249.53,99.201,249.53,257191290.99,257191290.99,249.25,99.88,257146490.46,99.970,257146490.46,99.970,249.25,99.88,257147121.16,99.970,257147121.16,99.970
Average,1:2:3:4,1000,499.83,99.600,499.83,518415599.67,518415599.67,499.49,99.93,518360913.39,99.983,518360913.39,99.983,499.49,99.93,518361954.40,99.983,518361954.40,99.983
