stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1,2,0.97,6.363,0.97,76037.46,76037.46,0.47,41.51,51253.59,44.223,51253.59,44.223,0.47,41.51,51253.59,44.223,51253.59,44.223
Average,1:1:1,3,1.51,26.464,1.51,129305.56,129305.56,1.06,69.49,107103.07,75.028,107103.07,75.028,1.06,69.49,107103.07,75.028,107103.07,75.028
Average,1:1:1,4,2.04,43.787,2.04,171726.18,171726.18,1.61,80.25,154991.36,87.832,154991.36,87.832,1.61,80.25,154991.36,87.832,154991.36,87.832
Average,1:1:1,5,2.60,56.919,2.60,233249.24,233249.24,2.04,78.48,209469.77,87.787,209469.77,87.787,2.04,78.48,209469.77,87.787,209469.77,87.787
Average,1:1:1,10,5.07,79.432,5.07,472233.21,472233.21,4.55,89.81,453405.27,95.836,453405.27,95.836,4.55,89.81,453405.27,95.836,453405.27,95.836
Average,1:1:1,15,7.37,86.062,7.37,716635.96,716635.96,6.89,93.48,697292.54,97.188,697292.54,97.188,6.89,93.48,697292.54,97.188,697292.54,97.188
Average,1:1:1,25,12.56,91.898,12.56,1219731.72,1219731.72,12.05,95.89,1201605.25,98.469,1201605.25,98.469,12.05,95.89,1201605.25,98.469,1201605.25,98.469
Average,1:1:1,50,24.99,95.969,24.99,2472720.32,2472720.32,24.52,98.15,2453538.20,99.229,2453538.20,99.229,24.52,98.15,2453538.20,99.229,2453538.20,99.229
Average,1:1:1,100,49.89,97.989,49.89,4914335.30,4914335.30,49.39,98.99,4896368.55,99.632,4896368.55,99.632,49.39,98.99,4896368.55,99.632,4896368.55,99.632
Average,1:1:1,500,250.18,99.599,250.18,24902960.93,24902960.93,249.72,99.81,24885157.90,99.928,24885157.90,99.928,249.72,99.81,24885157.90,99.928,24885157.90,99.928
Average,1:1:1,1000,500.26,99.800,500.26,49902386.72,49902386.72,499.77,99.90,49884002.49,99.963,49884002.49,99.963,499.77,99.90,49884002.49,99.963,49884002.49,99.963
