stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3:4,2,1.01,2.828,1.01,371221.54,371221.54,0.69,65.15,317879.67,66.573,317879.67,66.573,0.69,65.15,315618.15,66.237,315618.15,66.237
Average,1:2:3:4,3,1.50,17.373,1.50,586921.37,586921.37,1.16,79.04,527677.59,84.891,527677.59,84.891,1.16,79.04,527658.60,84.903,527658.60,84.903
Average,1:2:3:4,4,2.03,31.242,2.03,827689.56,827689.56,1.66,83.45,758816.91,90.043,758816.91,90.043,1.66,83.45,759852.96,90.065,759852.96,90.065
Average,1:2:3:4,5,2.46,39.989,2.46,1016848.80,1016848.80,2.07,85.25,946833.74,92.251,946833.74,92.251,2.07,85.25,945414.27,92.097,945414.27,92.097
Average,1:2:3:4,10,4.96,65.761,4.96,2150064.13,2150064.13,4.63,93.71,2087131.36,96.959,2087131.36,96.959,4.63,93.71,2087975.16,96.998,2087975.16,96.998
Average,1:2:3:4,15,7.51,76.096,7.51,3321180.36,3321180.36,7.20,95.96,3260995.27,98.087,3260995.27,98.087,7.20,95.96,3260137.51,98.066,3260137.51,98.066
Average,1:2:3:4,25,12.50,85.030,12.50,5473784.17,5473784.17,12.18,97.54,5414008.62,98.875,5414008.62,98.875,12.18,97.54,5412314.11,98.839,5412314.11,98.839
Average,1:2:3:4,50,24.96,92.252,24.96,11233671.38,11233671.38,24.67,98.83,11173556.64,99.457,11173556.64,99.457,24.67,98.83,11174428.08,99.465,11174428.08,99.465
Average,1:2:3:4,100,49.76,96.051,49.76,22403651.39,22403651.39,49.46,99.39,22349585.33,99.758,22349585.33,99.758,49.46,99.39,22347821.76,99.750,22347821.76,99.750
Average,1:2:3:4,500,250.19,99.203,250.19,112501280.50,112501280.50,249.82,99.85,112433803.54,99.939,112433803.54,99.939,249.82,99.85,112435027.91,99.940,112435027.91,99.940
Average,1:2:3:4,1000,500.27,99.600,500.27,224805217.87,224805217.87,499.94,99.93,224740799.13,99.971,224740799.13,99.971,499.94,99.93,224742539.84,99.972,224742539.84,99.972
