stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:2:2,2,1.01,1.313,1.01,170788.00,170788.00,0.50,48.03,103196.03,47.101,103196.03,47.101,0.50,48.03,102702.37,46.944,102702.37,46.944
Average,2:2:2,3,1.45,15.252,1.45,256201.62,256201.62,0.96,70.45,195828.05,74.420,195828.05,74.420,0.96,70.45,194993.90,74.115,194993.90,74.115
Average,2:2:2,4,1.97,30.606,1.97,357000.20,357000.20,1.45,75.65,289942.27,80.529,289942.27,80.529,1.45,75.65,292665.61,81.267,292665.61,81.267
Average,2:2:2,5,2.52,41.959,2.52,466231.81,466231.81,2.02,81.23,401780.91,85.893,401780.91,85.893,2.02,81.23,401263.78,85.756,401263.78,85.756
Average,2:2:2,10,5.04,66.424,5.04,977050.56,977050.56,4.51,89.77,906476.45,92.651,906476.45,92.651,4.51,89.77,907583.81,92.773,907583.81,92.773
Average,2:2:2,15,7.47,76.149,7.47,1456909.59,1456909.59,6.97,93.42,1388210.59,95.226,1388210.59,95.226,6.97,93.42,1388298.97,95.216,1388298.97,95.216
Average,2:2:2,25,12.46,85.032,12.46,2446655.79,2446655.79,11.93,95.79,2375853.89,97.087,2375853.89,97.087,11.93,95.79,2375160.52,97.055,2375160.52,97.055
Average,2:2:2,50,24.97,92.271,24.97,4970245.10,4970245.10,24.50,98.11,4904258.62,98.668,4904258.62,98.668,24.50,98.11,4902542.45,98.634,4902542.45,98.634
Average,2:2:2,100,50.19,96.087,50.19,10021292.18,10021292.18,49.71,99.03,9949645.67,99.285,9949645.67,99.285,49.71,99.03,9951744.41,99.307,9951744.41,99.307
Average,2:2:2,500,249.91,99.202,249.91,49878166.53,49878166.53,249.41,99.79,49810471.81,99.864,49810471.81,99.864,249.41,99.79,49809985.59,99.863,49809985.59,99.863
Average,2:2:2,1000,499.38,99.600,499.38,99858609.43,99858609.43,498.86,99.89,99791894.02,99.933,99791894.02,99.933,498.86,99.89,99788312.30,99.929,99788312.30,99.929
