stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:3,2,0.99,1.212,0.99,127153.93,127153.93,0.58,56.36,87253.06,54.068,87253.06,54.068,0.58,56.36,86950.75,53.892,86950.75,53.892
Average,2:3,3,1.53,17.979,1.53,196767.83,196767.83,1.01,69.39,149513.77,73.164,149513.77,73.164,1.01,69.39,150447.74,73.640,150447.74,73.640
Average,2:3,4,1.98,30.858,1.98,273447.12,273447.12,1.54,79.54,227495.55,82.566,227495.55,82.566,1.54,79.54,226753.63,82.264,226753.63,82.264
Average,2:3,5,2.50,41.444,2.50,365188.31,365188.31,2.09,84.67,318206.50,86.452,318206.50,86.452,2.09,84.67,319531.14,86.864,319531.14,86.864
Average,2:3,10,5.09,66.650,5.09,735244.95,735244.95,4.58,90.40,680767.10,92.547,680767.10,92.547,4.58,90.40,680581.06,92.494,680581.06,92.494
Average,2:3,15,7.62,76.544,7.62,1122888.81,1122888.81,7.13,93.56,1068319.11,95.063,1068319.11,95.063,7.13,93.56,1068091.29,95.044,1068091.29,95.044
Average,2:3,25,12.57,85.158,12.57,1876357.47,1876357.47,12.14,96.61,1825490.76,97.267,1825490.76,97.267,12.14,96.61,1825945.80,97.291,1825945.80,97.291
Average,2:3,50,24.98,92.273,24.99,3733239.28,3733239.28,24.53,98.21,3681317.03,98.605,3681317.03,98.605,24.53,98.20,3680871.78,98.592,3680871.78,98.592
Average,2:3,100,49.86,96.059,49.86,7457319.61,7457319.61,49.37,99.01,7401533.12,99.252,7401533.12,99.252,49.37,99.01,7402074.47,99.259,7402074.47,99.259
Average,2:3,500,250.15,99.203,250.15,37502383.53,37502383.53,249.67,99.81,37449332.31,99.858,37449332.31,99.858,249.67,99.81,37448120.25,99.855,37448120.25,99.855
Average,2:3,1000,499.83,99.600,499.83,74982196.78,74982196.78,499.35,99.90,74927860.12,99.927,74927860.12,99.927,499.35,99.90,74927953.14,99.927,74927953.14,99.927
