stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:2,2,0.95,2.424,0.95,463707.85,463707.85,0.61,58.18,428909.62,59.450,428909.62,59.450,0.61,58.18,428708.70,59.327,428708.70,59.327
Average,1:2:2,3,1.43,15.505,1.43,626568.81,626568.81,1.06,73.13,570457.67,80.005,570457.67,80.005,1.06,73.13,567306.95,80.051,567306.95,80.051
Average,1:2:2,4,1.91,27.676,1.91,857755.86,857755.86,1.51,81.61,803340.77,89.817,803340.77,89.817,1.51,81.61,803862.33,89.956,803862.33,89.956
Average,1:2:2,5,2.46,40.191,2.46,976237.13,976237.13,2.09,85.70,944435.04,93.847,944435.04,93.847,2.09,85.70,946088.47,93.909,946088.47,93.909
Average,1:2:2,10,4.95,65.621,4.95,2261739.50,2261739.50,4.62,93.56,2239709.44,97.713,2239709.44,97.713,4.62,93.56,2239563.70,97.679,2239563.70,97.679
Average,1:2:2,15,7.50,76.027,7.50,3559117.89,3559117.89,7.05,94.13,3522529.42,98.252,3522529.42,98.252,7.05,94.13,3523928.94,98.243,3523928.94,98.243
Average,1:2:2,25,12.36,84.860,12.37,5515133.46,5515133.46,12.03,97.33,5488187.87,99.312,5488187.87,99.312,12.03,97.30,5489296.15,99.317,5489296.15,99.317
Average,1:2:2,50,24.70,92.171,24.70,11788222.19,11788222.19,24.32,98.49,11764057.12,99.636,11764057.12,99.636,24.32,98.47,11763912.16,99.636,11763912.16,99.636
Average,1:2:2,100,49.59,96.035,49.59,22250355.64,22250355.64,49.20,99.23,22229391.49,99.805,22229391.49,99.805,49.20,99.23,22230208.97,99.805,22230208.97,99.805
Average,1:2:2,500,250.14,99.203,250.15,115777195.34,115777195.34,249.78,99.85,115758071.17,99.960,115758071.17,99.960,249.78,99.85,115757452.91,99.959,115757452.91,99.959
Average,1:2:2,1000,500.30,99.600,500.36,230179547.91,230179547.91,499.98,99.93,230156892.16,99.980,230156892.16,99.980,499.98,99.92,230155848.88,99.980,230155848.88,99.980
