stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,4:3:2:1,2,0.99,0.000,0.99,604707.71,604707.71,0.34,34.54,219623.72,33.996,219623.72,33.996,0.34,34.54,205603.25,32.430,205603.25,32.430
Average,4:3:2:1,3,1.45,15.252,1.45,969275.05,969275.05,0.93,69.84,783512.16,78.019,783512.16,78.019,0.93,69.84,698254.34,72.410,698254.34,72.410
Average,4:3:2:1,4,1.96,31.717,1.96,1301690.38,1301690.38,1.36,70.60,1057840.34,78.847,1057840.34,78.847,1.36,70.60,982125.52,74.902,982125.52,74.902
Average,4:3:2:1,5,2.39,39.898,2.39,1504285.73,1504285.73,1.86,78.93,1303644.24,85.515,1303644.24,85.515,1.86,78.93,1213659.71,81.587,1213659.71,81.587
Average,4:3:2:1,10,5.01,66.432,5.01,3326955.94,3326955.94,4.47,89.55,3165324.40,93.281,3165324.40,93.281,4.47,89.55,3044288.92,91.281,3044288.92,91.281
Average,4:3:2:1,15,7.40,76.060,7.40,4939013.20,4939013.20,6.84,92.52,4740874.69,95.411,4740874.69,95.411,6.84,92.52,4600912.18,93.869,4600912.18,93.869
Average,4:3:2:1,25,12.45,85.074,12.45,8497402.72,8497402.72,11.89,95.50,8314996.02,97.382,8314996.02,97.382,11.89,95.50,8189677.93,96.472,8189677.93,96.472
Average,4:3:2:1,50,24.88,92.257,24.88,17298122.44,17298122.44,24.32,97.74,17130066.98,98.684,17130066.98,98.684,24.32,97.74,16991813.80,98.236,16991813.80,98.236
Average,4:3:2:1,100,49.86,96.064,49.86,33912262.88,33912262.88,49.31,98.91,33766590.78,99.384,33766590.78,99.384,49.31,98.91,33588712.19,99.147,33588712.19,99.147
Average,4:3:2:1,500,249.70,99.202,249.71,171968080.07,171968080.07,249.15,99.78,171771408.49,99.868,171771408.49,99.868,249.15,99.77,171648255.04,99.817,171648255.04,99.817
Average,4:3:2:1,1000,499.50,99.600,499.50,344363905.88,344363905.88,498.96,99.89,344190427.30,99.933,344190427.30,99.933,498.96,99.89,344109058.31,99.913,344109058.31,99.913
