stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,3:2:1,2,0.99,0.707,0.99,122277.27,122277.27,0.43,42.66,65806.91,41.826,65806.91,41.826,0.43,42.66,64563.12,41.083,64563.12,41.083
Average,3:2:1,3,1.51,17.015,1.51,196863.23,196863.23,0.94,65.98,141401.97,70.164,141401.97,70.164,0.94,65.98,141198.53,70.100,141198.53,70.100
Average,3:2:1,4,1.99,31.494,1.99,270973.22,270973.22,1.42,72.35,212869.36,77.219,212869.36,77.219,1.42,72.35,212395.08,77.072,212395.08,77.072
Average,3:2:1,5,2.48,41.113,2.48,347302.67,347302.67,1.91,78.49,288656.91,82.607,288656.91,82.607,1.91,78.49,288740.26,82.641,288740.26,82.641
Average,3:2:1,10,4.99,66.159,4.99,723207.32,723207.32,4.41,88.59,663036.14,91.516,663036.14,91.516,4.41,88.59,663134.74,91.543,663134.74,91.543
Average,3:2:1,15,7.49,76.213,7.49,1100120.28,1100120.28,6.92,92.52,1039053.49,94.395,1039053.49,94.395,6.92,92.52,1039751.62,94.453,1039751.62,94.453
Average,3:2:1,25,12.51,85.116,12.51,1852804.94,1852804.94,11.94,95.43,1792016.70,96.691,1792016.70,96.691,11.94,95.43,1791443.77,96.663,1791443.77,96.663
Average,3:2:1,50,24.99,92.281,24.99,3723534.82,3723534.82,24.41,97.68,3661781.16,98.339,3661781.16,98.339,24.41,97.68,3661880.03,98.342,3661880.03,98.342
Average,3:2:1,100,49.97,96.070,49.97,7470651.13,7470651.13,49.40,98.85,7409014.33,99.173,7409014.33,99.173,49.40,98.84,7408610.85,99.168,7408610.85,99.168
Average,3:2:1,500,250.14,99.203,250.14,37482929.84,37482929.84,249.56,99.76,37420103.14,99.832,37420103.14,99.832,249.56,99.76,37419921.72,99.831,37419921.72,99.831
Average,3:2:1,1000,500.03,99.600,500.03,74985485.53,74985485.53,499.46,99.88,74922800.38,99.916,74922800.38,99.916,499.46,99.88,74922432.70,99.915,74922432.70,99.915
