stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3,2,0.95,2.404,0.95,521274.23,521274.23,0.60,57.18,457034.98,58.166,457034.98,58.166,0.60,57.18,456318.41,58.089,456318.41,58.089
Average,1:2:3,3,1.45,15.626,1.45,742109.96,742109.96,1.10,77.08,690995.67,82.852,690995.67,82.852,1.10,77.08,690884.05,82.811,690884.05,82.811
Average,1:2:3,4,1.95,29.313,1.95,1074367.41,1074367.41,1.61,83.94,1031966.14,91.369,1031966.14,91.369,1.61,83.94,1032438.42,91.329,1032438.42,91.329
Average,1:2:3,5,2.47,40.040,2.47,1282483.80,1282483.80,2.12,86.72,1237732.46,94.052,1237732.46,94.052,2.12,86.72,1238068.54,94.069,1238068.54,94.069
Average,1:2:3,10,4.91,65.355,4.91,2711998.12,2711998.12,4.57,93.18,2679057.14,97.706,2679057.14,97.706,4.57,93.18,2679516.11,97.717,2679516.11,97.717
Average,1:2:3,15,7.50,76.072,7.50,4224482.12,4224482.12,7.15,95.40,4192828.83,98.602,4192828.83,98.602,7.15,95.40,4192475.40,98.589,4192475.40,98.589
Average,1:2:3,25,12.46,84.971,12.46,7069231.15,7069231.15,12.11,97.27,7038252.71,99.191,7038252.71,99.191,12.11,97.27,7038717.09,99.198,7038717.09,99.198
Average,1:2:3,50,24.91,92.234,24.91,14235288.47,14235288.47,24.56,98.60,14204841.50,99.626,14204841.50,99.626,24.56,98.60,14204506.96,99.626,14204506.96,99.626
Average,1:2:3,100,49.86,96.056,49.86,28405469.34,28405469.34,49.51,99.30,28376939.51,99.815,28376939.51,99.815,49.51,99.30,28376805.36,99.814,28376805.36,99.814
Average,1:2:3,500,249.81,99.202,249.83,142196830.88,142196830.88,249.48,99.86,142168618.38,99.964,142168618.38,99.964,249.48,99.86,142168559.19,99.964,142168559.19,99.964
Average,1:2:3,1000,500.16,99.600,500.19,286809163.05,286809163.05,499.85,99.93,286782265.45,99.982,286782265.45,99.982,499.85,99.93,286781454.97,99.982,286781454.97,99.982
