stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:1,2,1.03,4.303,1.03,97584.27,97584.27,0.40,33.63,52597.60,36.290,52597.60,36.290,0.40,33.63,48283.34,34.562,48283.34,34.562
Average,2:1,3,1.50,17.247,1.50,161167.19,161167.19,0.87,56.24,120775.35,63.832,120775.35,63.832,0.87,56.24,109860.26,60.356,109860.26,60.356
Average,2:1,4,2.01,30.433,2.01,217063.43,217063.43,1.38,67.74,179359.90,76.844,179359.90,76.844,1.38,67.74,166737.72,73.406,166737.72,73.406
Average,2:1,5,2.51,40.356,2.51,274019.26,274019.26,1.88,74.67,242486.30,83.232,242486.30,83.232,1.88,74.67,227992.48,80.145,227992.48,80.145
Average,2:1,10,5.02,65.831,5.02,549759.65,549759.65,4.41,87.73,521983.40,93.090,521983.40,93.090,4.41,87.70,504757.49,91.258,504757.49,91.258
Average,2:1,15,7.48,75.887,7.48,838109.22,838109.22,6.86,91.76,810100.44,95.471,810100.44,95.471,6.86,91.73,792273.22,94.211,792273.22,94.211
Average,2:1,25,12.53,85.015,12.53,1420801.68,1420801.68,11.91,95.07,1392736.32,97.375,1392736.32,97.375,11.91,95.05,1373137.68,96.623,1373137.68,96.623
Average,2:1,50,24.94,92.236,24.94,2827712.84,2827712.84,24.32,97.50,2802035.64,98.707,2802035.64,98.707,24.32,97.48,2784043.29,98.320,2784043.29,98.320
Average,2:1,100,50.02,96.065,50.03,5670727.89,5670727.89,49.40,98.76,5643290.68,99.360,5643290.68,99.360,49.40,98.73,5625610.83,99.161,5625610.83,99.161
Average,2:1,500,249.75,99.201,249.84,28526231.55,28526231.55,249.22,99.79,28501270.07,99.873,28501270.07,99.873,249.22,99.75,28480026.45,99.833,28480026.45,99.833
Average,2:1,1000,500.14,99.600,500.33,57374830.41,57374830.41,499.73,99.91,57348561.13,99.938,57348561.13,99.938,499.73,99.87,57329432.00,99.916,57329432.00,99.916
