stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:2:3,2,1,1,28524,1,100.0,28524.0,100.0,1,100.0,28524.0,100.0
A,1:2:3,3,2,2,40775,2,100.0,40775.0,100.0,2,100.0,40775.0,100.0
A,1:2:3,4,3,3,48021,2,66.666,40061.0,83.424,2,66.666,40061.0,83.424
A,1:2:3,5,4,4,49319,3,75.0,46176.75,93.629,3,75.0,45333.32,91.919
A,1:2:3,10,5,5,61617,4,80.0,55642.2,90.303,4,80.0,55642.2,90.303
A,1:2:3,15,6,6,95239,6,100.0,95239.0,100.0,6,100.0,95239.0,100.0
A,1:2:3,25,10,10,141115,9,90.0,135525.0,96.039,9,90.0,133722.47,94.761
A,1:2:3,50,18,18,1437275,18,100.0,1437275.0,100.0,18,100.0,1437275.0,100.0
A,1:2:3,100,53,53,9839928,53,100.0,9839928.0,100.0,53,100.0,9839928.0,100.0
A,1:2:3,500,339,339,52059623,338,99.705,52025524.49,99.935,338,99.705,52014409.49,99.913
A,1:2:3,1000,477,477,59189267,475,99.58,58974079.12,99.636,477,100.0,59189267.0,100.0
A,1:2:3,2000,868,868,72318338,867,99.884,72300589.47,99.975,867,99.884,72294622.75,99.967
A,1:2:3,5000,2547,2547,333964924,2543,99.842,333497572.08,99.86,2547,100.0,333964924.0,100.0
A,1:2:3,10000,5066,5066,673990091,5056,99.802,672996819.95,99.853,5065,99.98,673961797.53,99.996
A,1:2:3,10466,5286,5286,792470433,5280,99.886,791772954.69,99.912,5285,99.981,792440534.61,99.996
AGNC,1:2:3,2,2,2,3302,1,50.0,2940.0,89.037,1,50.0,2680.67,81.183
AGNC,1:2:3,3,3,3,7481,2,66.666,6819.0,91.151,2,66.666,6419.8,85.815
AGNC,1:2:3,4,4,4,11265,3,75.0,10437.25,92.652,3,75.0,9914.96,88.016
AGNC,1:2:3,5,4,4,14173,4,100.0,14173.0,100.0,4,100.0,14173.0,100.0
AGNC,1:2:3,10,7,7,29392,7,100.0,29392.0,100.0,7,100.0,29392.0,100.0
AGNC,1:2:3,15,12,12,87359,11,91.666,81717.25,93.542,11,91.666,81717.25,93.542
AGNC,1:2:3,25,18,18,263086,17,94.444,255858.33,97.253,17,94.444,253337.59,96.295
AGNC,1:2:3,50,27,27,381960,27,100.0,381960.0,100.0,27,100.0,381960.0,100.0
AGNC,1:2:3,100,51,51,659045,50,98.039,654753.41,99.349,50,98.039,653216.42,99.116
AGNC,1:2:3,500,169,169,6889028,168,99.408,6857343.62,99.54,168,99.408,6857343.62,99.54
AGNC,1:2:3,1000,584,584,22988998,583,99.828,22961136.15,99.879,584,100.0,22988998.0,100.0
AGNC,1:2:3,2000,1146,1146,56443579,1146,100.0,56443579.0,100.0,1146,100.0,56443579.0,100.0
AGNC,1:2:3,5000,2763,2763,126141186,2758,99.819,126066846.87,99.941,2762,99.963,126124296.62,99.987
AGNC,1:2:3,6200,3126,3126,137187168,3122,99.872,137075654.35,99.919,3125,99.968,137172873.2,99.99
AMZN,1:2:3,2,1,1,3793,1,100.0,3793.0,100.0,1,100.0,3793.0,100.0
AMZN,1:2:3,3,2,2,6107,1,50.0,4356.0,71.328,1,50.0,4356.0,71.328
AMZN,1:2:3,4,3,3,7619,2,66.666,6961.0,91.364,2,66.666,6769.4,88.849
AMZN,1:2:3,5,4,4,8496,3,75.0,7928.75,93.323,3,75.0,7753.32,91.258
AMZN,1:2:3,10,7,7,11497,6,85.714,11122.14,96.74,6,85.714,11008.45,95.751
AMZN,1:2:3,15,7,7,12346,6,85.714,10652.57,86.284,7,100.0,12346.0,100.0
AMZN,1:2:3,25,13,13,15803,12,92.307,15573.62,98.548,12,92.307,15475.62,97.928
AMZN,1:2:3,50,17,17,64507,16,94.117,62423.88,96.771,16,94.117,62423.88,96.771
AMZN,1:2:3,100,36,36,258398,34,94.444,253560.39,98.128,35,97.222,255979.19,99.064
AMZN,1:2:3,500,195,195,39721620,195,100.0,39721620.0,100.0,195,100.0,39721620.0,100.0
AMZN,1:2:3,1000,503,503,121181052,502,99.801,121103193.78,99.936,502,99.801,121103193.78,99.936
AMZN,1:2:3,2000,786,786,142249733,785,99.872,142196016.41,99.962,785,99.872,142177977.91,99.95
AMZN,1:2:3,5000,2534,2534,3152200503,2533,99.96,3152020403.09,99.994,2533,99.96,3152020403.09,99.994
AMZN,1:2:3,10000,4977,4977,11477767506,4977,100.0,11477767506.0,100.0,4977,100.0,11477767506.0,100.0
AMZN,1:2:3,11734,5912,5912,20467190459,5910,99.966,20463681864.11,99.983,5911,99.983,20467007698.97,99.999
BA,1:2:3,2,2,2,96,1,50.0,86.0,89.583,1,50.0,84.67,88.194
BA,1:2:3,3,3,3,289,2,66.666,262.0,90.657,2,66.666,251.2,86.92
BA,1:2:3,4,3,3,376,3,100.0,376.0,100.0,3,100.0,376.0,100.0
BA,1:2:3,5,3,3,380,3,100.0,380.0,100.0,3,100.0,380.0,100.0
BA,1:2:3,10,6,6,626,5,83.333,595.0,95.048,5,83.333,584.82,93.421
BA,1:2:3,15,7,7,981,5,71.428,837.48,85.37,6,85.714,910.11,92.774
BA,1:2:3,25,12,12,3634,11,91.666,3396.33,93.46,12,100.0,3634.0,100.0
BA,1:2:3,50,35,35,16656,33,94.285,16212.04,97.335,34,97.142,16434.89,98.673
BA,1:2:3,100,68,68,60793,67,98.529,60420.28,99.387,67,98.529,60296.01,99.182
BA,1:2:3,500,184,184,148782,183,99.456,148076.7,99.526,184,100.0,148782.0,100.0
BA,1:2:3,1000,338,338,1051179,337,99.704,1048805.73,99.774,338,100.0,1051179.0,100.0
BA,1:2:3,2000,1204,1206,8300740,1201,99.585,8294986.61,99.931,1206,100.0,8300740.0,100.0
BA,1:2:3,5000,1680,1680,23799221,1674,99.642,23777198.95,99.907,1679,99.94,23795216.86,99.983
BA,1:2:3,10000,5014,5014,586423639,5011,99.94,586193217.56,99.961,5013,99.98,586409614.63,99.998
BA,1:2:3,20000,8872,8872,3363801740,8871,99.988,3363436463.05,99.989,8872,100.0,3363801740.0,100.0
BA,1:2:3,29544,14793,14806,6343333741,14786,99.864,6340742640.08,99.959,14805,99.993,6343272968.74,99.999
