stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,2:3,2,2,2,209363,1,50.0,119703.5,57.175,1,50.0,109688.83,52.392
A,2:3,3,3,3,309550,2,66.666,217812.0,70.364,2,66.666,210944.8,68.146
A,2:3,4,4,4,405580,3,75.0,313439.5,77.282,3,75.0,308151.21,75.978
A,2:3,5,5,5,499465,4,80.0,410623.6,82.213,4,80.0,404483.82,80.983
A,2:3,10,10,10,973313,9,90.0,885799.7,91.009,9,90.0,880632.33,90.478
A,2:3,15,15,15,1473181,14,93.333,1387862.8,94.209,14,93.333,1381193.56,93.756
A,2:3,25,25,25,2496525,24,96.0,2413059.36,96.657,24,96.0,2404694.38,96.322
A,2:3,50,50,50,6358799,49,98.0,6300561.38,99.084,49,98.0,6265744.03,98.537
A,2:3,100,75,75,20413531,75,100.0,20413531.0,100.0,75,100.0,20413531.0,100.0
A,2:3,500,380,380,69755196,380,100.0,69755196.0,100.0,380,100.0,69755196.0,100.0
A,2:3,1000,721,721,106366926,720,99.861,106325317.38,99.961,720,99.861,106272321.47,99.911
A,2:3,2000,1715,1715,173590892,1713,99.883,173527027.99,99.963,1714,99.941,173524306.31,99.962
A,2:3,5000,3840,3840,605217010,3840,100.0,605217010.0,100.0,3840,100.0,605217010.0,100.0
A,2:3,10000,7663,7663,1219266635,7663,100.0,1219266635.0,100.0,7663,100.0,1219266635.0,100.0
A,2:3,20000,7940,7940,1379475905,7937,99.962,1379107949.62,99.973,7940,100.0,1379475905.0,100.0
A,2:3,20932,7940,7940,1379475905,7937,99.962,1379107949.62,99.973,7940,100.0,1379475905.0,100.0
AGNC,2:3,2,2,2,121708,1,50.0,61935.0,50.888,1,50.0,61214.33,50.296
AGNC,2:3,3,3,3,181981,2,66.666,122722.0,67.437,2,66.666,121881.2,66.975
AGNC,2:3,4,4,4,242369,3,75.0,183067.75,75.533,3,75.0,182330.04,75.228
AGNC,2:3,5,5,5,301169,4,80.0,242974.4,80.677,4,80.0,241841.51,80.301
AGNC,2:3,10,10,10,598855,9,90.0,541778.1,90.469,9,90.0,540299.89,90.222
AGNC,2:3,15,15,15,896605,14,93.333,839716.4,93.655,14,93.333,838224.12,93.489
AGNC,2:3,25,25,25,1446415,24,96.0,1399679.2,96.769,24,96.0,1394005.32,96.377
AGNC,2:3,50,50,50,2717357,49,98.0,2680171.58,98.632,49,98.0,2671504.04,98.313
AGNC,2:3,100,100,100,5464154,99,99.0,5427054.02,99.321,99,99.0,5418239.17,99.16
AGNC,2:3,500,497,497,33359710,497,100.0,33359710.0,100.0,497,100.0,33359710.0,100.0
AGNC,2:3,1000,993,993,76953831,992,99.899,76893473.28,99.922,993,100.0,76953831.0,100.0
AGNC,2:3,2000,1936,1936,150880129,1935,99.948,150851451.51,99.981,1935,99.948,150826816.92,99.965
AGNC,2:3,5000,4769,4769,358815820,4766,99.937,358727875.63,99.975,4769,100.0,358815820.0,100.0
AGNC,2:3,10000,5860,5860,427081629,5858,99.965,427020439.31,99.986,5859,99.982,427029889.36,99.988
AGNC,2:3,12400,5860,5860,427081629,5858,99.965,427020439.31,99.986,5859,99.982,427029889.36,99.988
AMZN,2:3,2,2,2,13659,1,50.0,8392.5,61.443,1,50.0,7350.5,53.814
AMZN,2:3,3,3,3,19003,2,66.666,14544.0,76.535,2,66.666,13418.8,70.614
AMZN,2:3,4,4,4,24316,3,75.0,19736.5,81.167,3,75.0,18879.64,77.643
AMZN,2:3,5,5,5,29285,4,80.0,25128.4,85.806,4,80.0,24183.73,82.581
AMZN,2:3,10,10,10,53474,9,90.0,49902.4,93.321,9,90.0,48967.77,91.573
AMZN,2:3,15,15,15,76786,14,93.333,72996.8,95.065,14,93.333,72308.94,94.169
AMZN,2:3,25,25,25,126662,24,96.0,122823.52,96.97,24,96.0,122196.99,96.475
AMZN,2:3,50,50,50,285101,49,98.0,281767.66,98.831,49,98.0,280571.36,98.411
AMZN,2:3,100,83,83,801332,82,98.795,797807.3,99.56,82,98.795,794723.77,99.175
AMZN,2:3,500,291,291,57644920,290,99.656,57618247.59,99.954,290,99.656,57532390.02,99.805
AMZN,2:3,1000,587,588,172505085,587,99.829,172505085.0,100.0,588,100.0,172505085.0,100.0
AMZN,2:3,2000,1236,1236,283918967,1236,100.0,283918967.0,100.0,1236,100.0,283918967.0,100.0
AMZN,2:3,5000,3077,3077,4075366604,3077,100.0,4075366604.0,100.0,3077,100.0,4075366604.0,100.0
AMZN,2:3,10000,6154,6154,14377779470,6153,99.983,14377624515.58,99.999,6153,99.983,14376533738.79,99.991
AMZN,2:3,20000,6672,6672,25342585146,6671,99.985,25342305604.7,99.999,6671,99.985,25340546068.94,99.992
AMZN,2:3,23468,6672,6672,25342585146,6671,99.985,25342305604.7,99.999,6671,99.985,25340546068.94,99.992
BA,2:3,2,2,2,5118,1,50.0,2602.0,50.84,1,50.0,2573.33,50.28
