stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,4:3:2:1,2,2,2,1230109,1,50.0,680371.5,55.31,1,50.0,624952.68,50.805
A,4:3:2:1,3,3,3,1807231,2,66.666,1257754.33,69.596,2,66.666,1215201.02,67.241
A,4:3:2:1,4,4,4,2365618,3,75.0,1819681.25,76.922,3,75.0,1784465.23,75.433
A,4:3:2:1,5,5,5,2890298,4,80.0,2363991.0,81.791,4,80.0,2324200.68,80.414
A,4:3:2:1,10,10,10,5495328,9,90.0,5061637.1,92.108,9,90.0,4985272.16,90.718
A,4:3:2:1,15,15,15,7971234,14,93.333,7576139.67,95.043,14,93.333,7484227.7,93.89
A,4:3:2:1,25,25,25,12273504,24,96.0,11997819.56,97.754,24,96.0,11857912.62,96.614
A,4:3:2:1,50,50,50,32359370,49,98.0,32228306.5,99.595,49,98.0,31875220.42,98.504
A,4:3:2:1,100,100,100,115069721,99,99.0,114929051.32,99.878,99,99.0,114212443.55,99.255
A,4:3:2:1,500,485,485,400250360,484,99.793,400208367.64,99.99,484,99.793,399651663.33,99.85
A,4:3:2:1,1000,940,940,524692676,939,99.893,524616858.1,99.986,939,99.893,524245784.44,99.915
A,4:3:2:1,2000,1710,1710,820566482,1709,99.941,820363374.61,99.975,1709,99.941,820155777.22,99.95
A,4:3:2:1,5000,4469,4469,3088285741,4467,99.955,3088000182.65,99.991,4468,99.977,3087749630.87,99.983
A,4:3:2:1,10000,8821,8821,6169757880,8820,99.988,6169169593.53,99.99,8821,100.0,6169757880.0,100.0
A,4:3:2:1,20000,9210,9210,6887641308,9210,100.0,6887641308.0,100.0,9210,100.0,6887641308.0,100.0
A,4:3:2:1,41864,9210,9210,6887641308,9210,100.0,6887641308.0,100.0,9210,100.0,6887641308.0,100.0
AGNC,4:3:2:1,2,2,2,718847,1,50.0,363790.5,50.608,1,50.0,360053.93,50.088
AGNC,4:3:2:1,3,3,3,1084222,2,66.666,729042.33,67.241,2,66.666,724015.68,66.777
AGNC,4:3:2:1,4,4,4,1443208,3,75.0,1089191.75,75.47,3,75.0,1084027.81,75.112
AGNC,4:3:2:1,5,5,5,1793628,4,80.0,1445063.8,80.567,4,80.0,1437362.47,80.137
AGNC,4:3:2:1,10,10,10,3595016,9,90.0,3252572.9,90.475,9,90.0,3240333.72,90.134
AGNC,4:3:2:1,15,15,15,5484409,14,93.333,5141048.27,93.739,14,93.333,5125647.05,93.459
AGNC,4:3:2:1,25,25,25,8849855,24,96.0,8553312.92,96.649,24,96.0,8511710.72,96.179
AGNC,4:3:2:1,50,50,50,16056023,49,98.0,15815934.12,98.505,49,98.0,15756696.13,98.136
AGNC,4:3:2:1,100,100,100,31786631,99,99.0,31565015.6,99.303,99,99.0,31496281.71,99.087
AGNC,4:3:2:1,500,500,500,185007535,499,99.8,184858237.87,99.919,499,99.8,184700461.5,99.834
AGNC,4:3:2:1,1000,1000,1000,473565931,999,99.9,473413288.9,99.968,999,99.9,473182882.02,99.919
AGNC,4:3:2:1,2000,2000,2000,923176619,1999,99.95,923023816.44,99.983,1999,99.95,922802662.98,99.959
AGNC,4:3:2:1,5000,5000,5000,2141689567,4999,99.98,2141657434.24,99.998,4999,99.98,2141370955.73,99.985
AGNC,4:3:2:1,10000,6200,6200,2510232450,6199,99.983,2510213055.59,99.999,6199,99.983,2509934787.86,99.988
AGNC,4:3:2:1,20000,6200,6200,2510232450,6199,99.983,2510213055.59,99.999,6199,99.983,2509934787.86,99.988
AGNC,4:3:2:1,24800,6200,6200,2510232450,6199,99.983,2510213055.59,99.999,6199,99.983,2509934787.86,99.988
AMZN,4:3:2:1,2,2,2,84599,1,50.0,49944.5,59.037,1,50.0,43515.76,51.438
AMZN,4:3:2:1,3,3,3,118232,2,66.666,88590.33,74.929,2,66.666,80831.14,68.367
AMZN,4:3:2:1,4,4,4,151099,3,75.0,121929.0,80.695,3,75.0,115332.81,76.329
AMZN,4:3:2:1,5,5,5,181628,4,80.0,154928.6,85.3,4,80.0,147652.27,81.294
AMZN,4:3:2:1,10,10,10,321733,9,90.0,299798.2,93.182,9,90.0,292292.85,90.85
AMZN,4:3:2:1,15,15,15,443932,14,93.333,423142.73,95.317,14,93.333,416907.75,93.913
AMZN,4:3:2:1,25,25,25,699903,24,96.0,679637.48,97.105,24,96.0,674196.26,96.327
AMZN,4:3:2:1,50,50,50,1306056,49,98.0,1300693.7,99.589,49,98.0,1286767.23,98.523
AMZN,4:3:2:1,100,71,71,3172501,70,98.591,3153570.23,99.403,70,98.591,3134187.72,98.792
AMZN,4:3:2:1,500,304,304,228404272,303,99.671,227683693.87,99.685,304,100.0,228404272.0,100.0
AMZN,4:3:2:1,1000,697,697,718671333,697,100.0,718671333.0,100.0,697,100.0,718671333.0,100.0
AMZN,4:3:2:1,2000,1075,1075,1055422934,1074,99.906,1055096398.51,99.969,1074,99.906,1054604844.23,99.922
AMZN,4:3:2:1,5000,3352,3352,17142996461,3351,99.97,17142646073.09,99.998,3351,99.97,17139102071.83,99.977
AMZN,4:3:2:1,10000,6139,6139,58509164116,6138,99.983,58508770444.8,99.999,6138,99.983,58501950188.39,99.988
AMZN,4:3:2:1,20000,7409,7409,103516027804,7409,100.0,103516027804.0,100.0,7409,100.0,103516027804.0,100.0
AMZN,4:3:2:1,46936,7409,7409,103516027804,7409,100.0,103516027804.0,100.0,7409,100.0,103516027804.0,100.0
BA,4:3:2:1,2,2,2,30583,1,50.0,15495.5,50.667,1,50.0,15325.16,50.11
BA,4:3:2:1,3,3,3,46146,2,66.666,31061.0,67.31,2,66.666,30824.94,66.799
BA,4:3:2:1,4,4,4,61166,3,75.0,46152.25,75.454,3,75.0,45937.07,75.102
BA,4:3:2:1,5,5,5,76037,3,60.0,45903.85,60.37,4,80.0,60909.81,80.105
BA,4:3:2:1,10,10,10,150405,9,90.0,135944.5,90.386,9,90.0,135538.96,90.116
BA,4:3:2:1,15,15,15,226378,14,93.333,211947.2,93.625,14,93.333,211479.99,93.419
BA,4:3:2:1,25,25,25,394348,24,96.0,379895.2,96.335,24,96.0,378947.24,96.095
BA,4:3:2:1,50,50,50,823209,49,98.0,808679.2,98.235,49,98.0,807331.46,98.071
BA,4:3:2:1,100,100,100,1584387,99,99.0,1572655.5,99.26,99,99.0,1569722.91,99.074
BA,4:3:2:1,500,402,402,4036794,401,99.751,4032967.57,99.905,401,99.751,4027341.75,99.766
BA,4:3:2:1,1000,877,877,14641829,877,100.0,14641829.0,100.0,877,100.0,14641829.0,100.0
