n,k,ecbk,ecbgft,apbk,apbgft,ecdk,ecdgft,apdk,apdgft,echk,echgft,aphk,aphgft,ecpk,ecpgft,appk,appgft
2,1.27,62.12,64.97,77.27,79.91,54.55,66.35,63.64,76.57,54.55,66.30,63.64,76.52,54.55,66.27,63.64,76.49
3,2.12,65.66,74.68,75.25,81.43,64.65,79.69,72.73,83.84,64.65,79.28,72.73,83.84,64.65,79.27,72.73,83.84
4,2.64,77.53,83.88,87.63,89.34,67.42,82.62,81.06,89.41,69.44,84.27,81.06,89.36,69.44,84.25,81.06,89.34
5,3.15,80.81,86.85,90.91,93.16,73.33,84.03,86.01,92.09,73.33,83.46,86.01,92.05,73.33,83.44,86.01,92.02
10,5.70,83.73,91.63,91.70,94.97,83.78,93.82,91.98,96.06,83.78,93.78,91.98,96.04,84.28,94.08,91.98,96.03
15,8.48,88.80,94.18,94.93,97.19,83.62,93.94,93.51,97.18,83.62,93.87,93.51,97.16,83.62,93.67,93.51,97.16
25,13.18,89.19,94.59,97.32,98.51,86.98,95.82,96.58,98.48,86.98,95.61,96.58,98.48,87.18,95.62,96.58,98.47
50,24.73,93.54,97.28,98.10,98.70,92.04,96.75,98.07,99.19,92.04,96.70,98.07,99.19,92.04,96.70,98.07,99.19
100,48.27,95.27,98.15,99.08,99.50,95.21,98.42,98.83,99.47,95.21,98.33,98.83,99.47,95.21,98.33,98.83,99.47
500,234.30,98.71,99.55,99.80,99.92,98.00,99.14,99.83,99.93,98.00,99.14,99.83,99.93,98.00,99.14,99.83,99.93
1000,447.91,99.12,99.69,99.90,99.96,98.77,99.60,99.93,99.97,98.79,99.60,99.93,99.97,98.83,99.61,99.93,99.97
2000,878.70,99.52,99.80,99.97,99.98,99.02,99.77,99.95,99.98,99.06,99.73,99.95,99.98,99.06,99.68,99.95,99.98
5000,2156.12,99.84,99.95,99.98,99.99,99.80,99.95,99.97,99.99,99.81,99.95,99.97,99.99,99.81,99.95,99.97,99.99
