stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.96,7.727,0.96,89077.36,89077.36,0.53,45.60,78463.55,50.748,76152.40,48.163,0.15,7.72,13699.25,12.869,11388.10,10.284,0.49,41.96,76874.00,45.602,76874.00,45.602,0.50,42.27,76894.46,45.905,76894.46,45.905
Average,1:1,3,1.42,23.030,1.42,144499.89,144499.89,1.00,67.57,134177.00,76.676,126683.30,71.606,0.47,23.03,73705.23,35.176,54058.74,24.970,0.96,64.39,126623.70,70.689,126623.70,70.689,0.96,64.39,126623.70,70.689,126623.70,70.689
Average,1:1,4,1.95,40.126,1.95,246744.88,246744.88,1.51,75.22,234043.82,86.233,222710.53,79.952,0.97,40.17,185595.94,58.029,124990.50,40.892,1.47,74.41,228830.86,82.209,228830.86,82.209,1.48,74.62,228842.35,82.467,228842.35,82.467
Average,1:1,5,2.40,51.530,2.40,286306.70,286306.70,1.96,80.54,279447.99,91.260,267709.33,84.491,1.40,51.53,243552.88,71.834,194869.23,52.307,1.94,80.89,270719.19,89.521,270719.19,89.521,1.94,80.89,270719.19,89.521,270719.19,89.521
Average,1:1,10,5.11,79.131,5.11,535766.20,535766.20,4.60,89.90,530760.76,98.518,510528.06,92.909,4.11,79.14,513948.84,95.249,441733.06,79.814,4.58,89.70,522523.40,95.654,522523.40,95.654,4.58,89.71,522535.35,95.673,522535.35,95.673
Average,1:1,15,7.39,85.944,7.39,866033.15,866033.15,6.91,93.57,861326.77,99.392,831506.56,95.712,6.39,85.94,851880.61,97.810,766316.32,85.357,6.87,93.05,854520.56,97.606,854520.56,97.606,6.88,93.18,855225.65,97.629,855225.65,97.629
Average,1:1,25,12.71,91.962,12.73,1511809.60,1511809.60,12.20,95.85,1509738.17,99.789,1485097.16,97.385,11.73,91.97,1504727.78,99.338,1420365.83,91.937,12.20,95.91,1502488.62,98.607,1502488.62,98.607,12.21,95.92,1502540.97,98.629,1502540.97,98.629
Average,1:1,50,25.23,95.998,25.24,2931156.41,2931156.41,24.71,97.86,2929731.25,99.943,2894926.67,98.593,24.24,96.00,2927536.53,99.834,2840519.25,95.860,24.63,97.62,2912400.30,99.205,2912400.30,99.205,24.67,97.72,2918870.66,99.273,2918870.66,99.273
Average,1:1,100,50.12,97.995,50.16,5701326.45,5701326.45,49.67,99.02,5700943.53,99.988,5681879.40,99.444,49.16,97.99,5699650.82,99.954,5617702.64,97.720,49.63,99.01,5690734.89,99.697,5690734.89,99.697,49.71,99.09,5693021.95,99.728,5693021.95,99.728
Average,1:1,500,249.49,99.598,249.64,28531764.86,28531764.86,249.07,99.77,28531575.39,99.999,28485135.68,99.859,248.64,99.59,28531377.33,99.998,28435832.69,99.639,248.81,99.72,28516872.74,99.908,28516872.74,99.908,249.12,99.79,28523087.61,99.936,28523087.61,99.936
Average,1:1,1000,499.77,99.799,500.15,57686090.94,57686090.94,499.59,99.88,57686020.65,99.999,57650822.56,99.911,499.15,99.79,57685938.75,99.999,57609750.50,99.756,499.00,99.84,57654371.20,99.946,57654371.20,99.946,499.63,99.89,57675122.49,99.968,57675122.49,99.968
