stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3:4,2,0.97,2.626,0.97,3414.67,3414.67,0.64,60.30,2805.67,60.591,2805.67,60.591,0.64,60.30,2836.15,61.206,2836.15,61.206
Average,1:2:3:4,3,1.46,15.707,1.46,5717.01,5717.01,1.15,81.21,4969.57,82.866,4969.57,82.866,1.15,81.21,5116.86,85.476,5116.86,85.476
Average,1:2:3:4,4,1.98,30.131,1.98,8119.61,8119.61,1.65,84.67,7272.84,86.986,7272.84,86.986,1.65,84.67,7467.19,89.796,7467.19,89.796
Average,1:2:3:4,5,2.57,42.151,2.57,10556.30,10556.30,2.20,86.41,9769.62,91.486,9769.62,91.486,2.20,86.41,9904.38,93.011,9904.38,93.011
Average,1:2:3:4,10,4.94,65.655,4.94,21176.02,21176.02,4.62,93.72,20213.23,95.256,20213.23,95.256,4.62,93.72,20528.13,96.869,20528.13,96.869
Average,1:2:3:4,15,7.54,76.235,7.54,32836.12,32836.12,7.20,95.57,32040.41,97.515,32040.41,97.515,7.20,95.57,32227.69,98.109,32227.69,98.109
Average,1:2:3:4,25,12.48,85.023,12.48,54920.22,54920.22,12.19,97.72,53869.31,98.080,53869.31,98.080,12.19,97.72,54318.72,98.893,54318.72,98.893
Average,1:2:3:4,50,25.04,92.271,25.04,111801.83,111801.83,24.68,98.56,110775.90,99.066,110775.90,99.066,24.68,98.56,111119.59,99.382,111119.59,99.382
Average,1:2:3:4,100,49.90,96.060,49.90,223342.53,223342.53,49.55,99.30,222357.97,99.559,222357.97,99.559,49.55,99.30,222690.36,99.706,222690.36,99.706
Average,1:2:3:4,500,249.89,99.202,249.89,1123201.16,1123201.16,249.59,99.88,1122199.85,99.910,1122199.85,99.910,249.59,99.88,1122609.86,99.947,1122609.86,99.947
Average,1:2:3:4,1000,499.73,99.600,499.73,2246521.98,2246521.98,499.38,99.92,2245578.93,99.958,2245578.93,99.958,499.38,99.92,2245884.63,99.971,2245884.63,99.971
