stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2,2,0.99,3.434,0.99,788.36,788.36,0.59,54.24,575.11,54.652,575.11,54.652,0.59,54.24,579.87,54.939,579.87,54.939
Average,1:2,3,1.53,18.232,1.53,1265.62,1265.62,1.11,72.42,1064.61,77.030,1064.61,77.030,1.11,72.42,1074.71,77.826,1074.71,77.826
Average,1:2,4,1.97,29.121,1.97,1794.64,1794.64,1.62,83.45,1588.11,85.938,1588.11,85.938,1.62,83.45,1612.76,87.320,1612.76,87.320
Average,1:2,5,2.52,40.626,2.52,2338.72,2338.72,2.10,83.38,2095.27,87.996,2095.27,87.996,2.10,83.38,2120.79,89.254,2120.79,89.254
Average,1:2,10,5.04,65.915,5.04,4775.32,4775.32,4.66,92.70,4544.61,94.886,4544.61,94.886,4.66,92.70,4581.23,95.700,4581.23,95.700
Average,1:2,15,7.51,76.098,7.51,7356.95,7356.95,7.15,95.21,7134.83,96.877,7134.83,96.877,7.15,95.21,7170.15,97.371,7170.15,97.371
Average,1:2,25,12.56,85.044,12.56,12383.03,12383.03,12.20,97.18,12156.48,98.144,12156.48,98.144,12.20,97.18,12202.57,98.525,12202.57,98.525
Average,1:2,50,25.24,92.323,25.24,25031.24,25031.24,24.89,98.61,24801.25,99.071,24801.25,99.071,24.89,98.61,24854.32,99.289,24854.32,99.289
Average,1:2,100,50.28,96.085,50.28,50023.13,50023.13,49.92,99.28,49796.72,99.546,49796.72,99.546,49.92,99.28,49835.26,99.624,49835.26,99.624
Average,1:2,500,250.06,99.202,250.06,249683.23,249683.23,249.69,99.85,249437.01,99.901,249437.01,99.901,249.69,99.85,249486.44,99.921,249486.44,99.921
Average,1:2,1000,500.05,99.600,500.05,499509.56,499509.56,499.62,99.91,499281.54,99.954,499281.54,99.954,499.62,99.91,499316.08,99.961,499316.08,99.961
