stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:2,2,1.01,2.020,1.01,806.92,806.92,0.48,45.75,485.26,44.925,485.26,44.925,0.48,45.75,480.15,44.671,480.15,44.671
Average,2:2,3,1.46,15.656,1.46,1295.46,1295.46,0.99,70.10,981.89,72.068,981.89,72.068,0.99,70.10,979.09,72.178,979.09,72.178
Average,2:2,4,2.01,31.616,2.01,1874.80,1874.80,1.52,76.91,1517.77,80.085,1517.77,80.085,1.52,76.91,1522.43,80.117,1522.43,80.117
Average,2:2,5,2.50,41.363,2.50,2359.06,2359.06,1.98,79.46,1994.61,83.541,1994.61,83.541,1.98,79.46,1995.40,83.472,1995.40,83.472
Average,2:2,10,4.98,65.944,4.98,4864.90,4864.90,4.43,89.10,4484.37,91.875,4484.37,91.875,4.43,89.10,4488.24,91.936,4488.24,91.936
Average,2:2,15,7.40,75.807,7.40,7245.97,7245.97,6.93,93.68,6887.09,94.865,6887.09,94.865,6.93,93.68,6892.98,94.943,6892.98,94.943
Average,2:2,25,12.56,85.103,12.56,12389.95,12389.95,12.03,95.83,12002.27,96.827,12002.27,96.827,12.03,95.83,12016.95,96.952,12016.95,96.952
Average,2:2,50,25.06,92.283,25.06,24964.47,24964.47,24.55,97.98,24592.85,98.508,24592.85,98.508,24.55,97.98,24592.68,98.509,24592.68,98.509
Average,2:2,100,50.03,96.071,50.03,49986.81,49986.81,49.54,99.02,49597.54,99.222,49597.54,99.222,49.54,99.02,49610.79,99.247,49610.79,99.247
Average,2:2,500,249.87,99.202,249.87,249552.36,249552.36,249.36,99.79,249177.96,99.849,249177.96,99.849,249.36,99.79,249180.14,99.850,249180.14,99.850
Average,2:2,1000,499.65,99.600,499.65,498685.53,498685.53,499.19,99.90,498296.14,99.921,498296.14,99.921,499.19,99.90,498321.13,99.926,498321.13,99.926
