stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:2:2,2,0.99,1.515,0.99,1577.22,1577.22,0.49,47.42,995.98,46.844,995.98,46.844,0.49,47.42,1001.85,47.106,1001.85,47.106
Average,2:2:2,3,1.52,17.575,1.52,2709.33,2709.33,1.02,71.06,2066.15,74.686,2066.15,74.686,1.02,71.06,2081.73,75.347,2081.73,75.347
Average,2:2:2,4,2.01,32.121,2.01,3753.60,3753.60,1.53,77.12,3089.09,81.123,3089.09,81.123,1.53,77.12,3106.86,81.774,3106.86,81.774
Average,2:2:2,5,2.50,41.272,2.50,4684.28,4684.28,2.02,82.14,4052.28,85.707,4052.28,85.707,2.02,82.14,4073.33,86.133,4073.33,86.133
Average,2:2:2,10,4.91,65.639,4.91,9532.68,9532.68,4.45,90.98,8874.77,92.953,8874.77,92.953,4.45,90.98,8890.11,93.172,8890.11,93.172
Average,2:2:2,15,7.50,76.232,7.50,14695.44,14695.44,6.98,93.13,13960.97,94.941,13960.97,94.941,6.98,93.13,14001.06,95.238,14001.06,95.238
Average,2:2:2,25,12.50,85.074,12.50,24762.62,24762.62,11.98,95.91,24021.64,96.967,24021.64,96.967,11.98,95.91,24037.08,97.039,24037.08,97.039
Average,2:2:2,50,24.88,92.244,24.88,49466.67,49466.67,24.40,98.06,48768.18,98.572,48768.18,98.572,24.40,98.06,48840.49,98.719,48840.49,98.719
Average,2:2:2,100,49.96,96.068,49.96,99313.39,99313.39,49.43,98.95,98606.82,99.288,98606.82,99.288,49.43,98.95,98613.27,99.292,98613.27,99.292
Average,2:2:2,500,250.02,99.202,250.02,499599.69,499599.69,249.52,99.79,498880.08,99.855,498880.08,99.855,249.52,99.79,498899.32,99.859,498899.32,99.859
Average,2:2:2,1000,499.81,99.600,499.81,997031.18,997031.18,499.29,99.89,996266.11,99.923,996266.11,99.923,499.29,99.89,996337.29,99.930,996337.29,99.930
