stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2,2,0.96,3.434,0.96,175607.96,175607.96,0.58,53.63,147427.66,52.751,147427.66,52.751,0.59,53.93,150610.81,55.166,150610.81,55.166
Average,1:2,3,1.51,17.626,1.51,314578.81,314578.81,1.13,75.75,277926.69,78.929,277926.69,78.929,1.13,75.85,288841.23,82.463,288841.23,82.463
Average,1:2,4,2.04,30.939,2.04,344735.39,344735.39,1.65,81.08,316073.65,85.811,316073.65,85.811,1.65,81.23,330580.48,88.617,330580.48,88.617
Average,1:2,5,2.45,38.969,2.45,551821.17,551821.17,2.06,85.30,507339.30,90.022,507339.30,90.022,2.06,85.30,532488.50,92.826,532488.50,92.826
Average,1:2,10,4.93,65.245,4.93,1153753.23,1153753.23,4.59,93.39,1107811.15,95.320,1107811.15,95.320,4.59,93.42,1133481.87,97.347,1133481.87,97.347
Average,1:2,15,7.57,76.192,7.57,1701419.10,1701419.10,7.20,95.13,1654222.37,97.053,1654222.37,97.053,7.21,95.28,1680154.32,98.284,1680154.32,98.284
Average,1:2,25,12.55,85.048,12.55,2931584.07,2931584.07,12.13,96.65,2886739.12,98.351,2886739.12,98.351,12.15,96.88,2914746.00,99.047,2914746.00,99.047
Average,1:2,50,25.29,92.336,25.30,6006039.87,6006039.87,24.86,98.29,5962727.80,99.178,5962727.80,99.178,24.89,98.39,5989578.10,99.516,5989578.10,99.516
Average,1:2,100,50.40,96.093,50.41,11583813.37,11583813.37,49.93,99.07,11546913.24,99.548,11546913.24,99.548,50.03,99.25,11568921.63,99.771,11568921.63,99.771
Average,1:2,500,249.70,99.201,249.82,56954378.34,56954378.34,249.04,99.73,56859064.70,99.870,56859064.70,99.870,249.46,99.85,56940191.29,99.953,56940191.29,99.953
Average,1:2,1000,499.20,99.599,499.40,114836037.44,114836037.44,498.40,99.83,114680034.47,99.915,114680034.47,99.915,499.11,99.94,114823221.96,99.979,114823221.96,99.979
