stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:3,2,0.98,0.606,0.98,345443.69,345443.69,0.56,55.75,239405.96,50.778,239405.96,50.778,0.56,56.06,265915.87,53.791,265915.87,53.791
Average,2:3,3,1.49,16.464,1.49,434136.01,434136.01,1.06,74.24,324695.27,74.193,324695.27,74.193,1.06,74.54,325023.23,75.642,325023.23,75.642
Average,2:3,4,1.99,31.161,1.99,634028.75,634028.75,1.59,80.95,535752.81,82.514,535752.81,82.514,1.59,80.95,564026.32,83.266,564026.32,83.266
Average,2:3,5,2.47,40.757,2.47,805986.06,805986.06,2.04,83.86,703810.99,86.064,703810.99,86.064,2.04,84.01,678664.90,87.038,678664.90,87.038
Average,2:3,10,4.93,65.800,4.93,1613256.38,1613256.38,4.51,91.78,1502502.43,92.799,1502502.43,92.799,4.52,92.07,1512343.13,93.496,1512343.13,93.496
Average,2:3,15,7.49,76.219,7.49,2496366.28,2496366.28,7.02,93.78,2377162.07,95.182,2377162.07,95.182,7.03,94.03,2396018.17,95.543,2396018.17,95.543
Average,2:3,25,12.50,85.072,12.51,4512959.18,4512959.18,11.98,95.82,4400356.14,97.166,4400356.14,97.166,12.00,95.99,4397888.23,97.106,4397888.23,97.106
Average,2:3,50,25.07,92.301,25.07,8700105.23,8700105.23,24.54,97.89,8585397.23,98.548,8585397.23,98.548,24.58,98.05,8601114.66,98.640,8601114.66,98.640
Average,2:3,100,50.09,96.078,50.10,17229501.98,17229501.98,49.62,99.05,17103845.92,99.221,17103845.92,99.221,49.66,99.13,17124540.73,99.362,17124540.73,99.362
Average,2:3,500,249.78,99.202,249.82,85846915.00,85846915.00,249.06,99.71,85677137.47,99.810,85677137.47,99.810,249.37,99.81,85717105.31,99.857,85717105.31,99.857
Average,2:3,1000,500.33,99.600,500.50,172609706.79,172609706.79,499.37,99.81,172404821.99,99.886,172404821.99,99.886,500.13,99.92,172491058.89,99.935,172491058.89,99.935
