stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,4:2:6,2,1.00,0.202,1.00,806032.94,806032.94,0.44,44.24,417828.09,41.080,417828.09,41.080,0.44,44.24,428169.91,41.886,428169.91,41.886
Average,4:2:6,3,1.47,15.757,1.47,1282156.81,1282156.81,0.98,74.09,943277.90,73.175,943277.90,73.175,0.99,74.24,937068.09,74.302,937068.09,74.302
Average,4:2:6,4,2.03,33.333,2.03,1769899.72,1769899.72,1.50,74.74,1376585.31,77.678,1376585.31,77.678,1.50,74.89,1371953.35,77.706,1371953.35,77.706
Average,4:2:6,5,2.51,41.878,2.51,2231223.97,2231223.97,1.97,80.60,1826107.86,83.264,1826107.86,83.264,1.98,81.01,1891582.52,83.378,1891582.52,83.378
Average,4:2:6,10,4.98,66.288,4.98,4661202.52,4661202.52,4.46,90.02,4288769.57,91.482,4288769.57,91.482,4.48,90.27,4317538.02,91.797,4317538.02,91.797
Average,4:2:6,15,7.46,76.241,7.46,6405494.93,6405494.93,6.96,93.46,6067490.61,93.894,6067490.61,93.894,6.98,93.77,6133573.39,94.423,6133573.39,94.423
Average,4:2:6,25,12.49,85.116,12.49,11859354.42,11859354.42,11.92,95.54,11330171.82,96.327,11330171.82,96.327,11.96,95.89,11439065.69,96.600,11439065.69,96.600
Average,4:2:6,50,25.03,92.304,25.03,22755166.48,22755166.48,24.43,97.59,22184568.22,97.895,22184568.22,97.895,24.51,97.90,22407019.85,98.276,22407019.85,98.276
Average,4:2:6,100,50.11,96.083,50.11,45925860.72,45925860.72,49.47,98.72,45484731.73,98.943,45484731.73,98.943,49.58,98.93,45516163.45,99.119,45516163.45,99.119
Average,4:2:6,500,249.78,99.202,249.78,228851447.60,228851447.60,248.93,99.66,227978973.50,99.721,227978973.50,99.721,249.34,99.82,228475391.65,99.844,228475391.65,99.844
Average,4:2:6,1000,500.12,99.600,500.14,457704931.30,457704931.30,499.01,99.77,456532687.83,99.816,456532687.83,99.816,499.67,99.90,457331165.83,99.917,457331165.83,99.917
