stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,4:3:2:1,2,0.99,0.202,0.99,658666.31,658666.31,0.37,36.96,254777.01,34.482,254777.01,34.482,0.37,37.27,279634.96,35.125,279634.96,35.125
Average,4:3:2:1,3,1.46,15.555,1.46,1007682.66,1007682.66,0.92,68.33,737002.33,72.901,737002.33,72.901,0.93,68.48,713110.73,71.161,713110.73,71.161
Average,4:3:2:1,4,1.95,30.959,1.95,1345311.04,1345311.04,1.39,72.87,1019008.20,78.216,1019008.20,78.216,1.40,73.18,990917.53,76.094,990917.53,76.094
Average,4:3:2:1,5,2.49,41.595,2.49,1801265.99,1801265.99,1.93,79.16,1486932.08,83.503,1486932.08,83.503,1.93,79.16,1462199.96,82.308,1462199.96,82.308
Average,4:3:2:1,10,4.95,66.106,4.95,3391517.51,3391517.51,4.39,88.94,3112387.80,91.536,3112387.80,91.536,4.40,89.20,3049965.70,90.917,3049965.70,90.917
Average,4:3:2:1,15,7.44,76.157,7.44,5079440.56,5079440.56,6.81,91.65,4818076.61,94.406,4818076.61,94.406,6.83,91.93,4749482.45,93.904,4749482.45,93.904
Average,4:3:2:1,25,12.47,85.099,12.47,8446196.33,8446196.33,11.92,95.59,8184935.69,96.774,8184935.69,96.774,11.93,95.71,8120399.66,96.483,8120399.66,96.483
Average,4:3:2:1,50,25.00,92.292,25.00,16819139.33,16819139.33,24.33,97.31,16432116.35,98.141,16432116.35,98.141,24.37,97.48,16497802.74,98.073,16497802.74,98.073
Average,4:3:2:1,100,49.76,96.056,49.76,35339769.92,35339769.92,49.16,98.78,34878604.33,99.067,34878604.33,99.067,49.24,98.95,35009902.22,99.147,35009902.22,99.147
Average,4:3:2:1,500,249.92,99.202,249.93,171866998.36,171866998.36,248.96,99.61,171303667.36,99.725,171303667.36,99.725,249.37,99.77,171548012.43,99.825,171548012.43,99.825
Average,4:3:2:1,1000,499.82,99.600,499.84,341978672.83,341978672.83,498.51,99.73,341097168.57,99.802,341097168.57,99.802,499.28,99.88,341695222.70,99.909,341695222.70,99.909
