stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.00,8.742,1.00,395.39,395.39,0.57,48.89,301.99,53.749,268.25,49.861,0.17,8.74,103.00,13.597,69.27,9.710,0.49,40.95,244.82,43.313,244.82,43.313,0.49,40.95,244.82,43.313,244.82,43.313
Average,1:1,3,1.50,25.868,1.50,641.18,641.18,1.08,68.32,564.83,76.753,512.31,70.914,0.55,25.86,335.39,38.154,213.77,25.715,1.01,64.02,501.75,68.995,501.75,68.995,1.01,64.02,501.75,68.995,501.75,68.995
Average,1:1,4,2.01,42.411,2.01,892.91,892.91,1.57,77.50,826.86,88.031,750.88,80.615,1.02,42.41,622.03,59.708,406.20,40.299,1.52,74.61,757.48,80.494,757.48,80.494,1.52,74.61,757.48,80.494,757.48,80.494
Average,1:1,5,2.50,54.046,2.50,1147.20,1147.20,2.05,81.94,1084.46,92.691,983.67,84.590,1.50,54.04,908.54,73.236,618.92,50.638,1.99,79.53,1006.16,85.735,1006.16,85.735,1.99,79.53,1006.16,85.735,1006.16,85.735
Average,1:1,10,5.00,78.792,5.00,2380.38,2380.38,4.53,90.58,2341.21,98.192,2183.35,91.513,4.00,78.79,2244.98,93.850,1746.04,73.113,4.51,90.06,2248.61,94.232,2248.61,94.232,4.51,90.06,2248.61,94.232,2248.61,94.232
Average,1:1,15,7.45,86.055,7.45,3605.79,3605.79,6.97,93.58,3577.58,99.180,3395.39,94.118,6.45,86.05,3511.10,97.255,2932.99,81.278,6.95,93.24,3475.80,96.305,3475.80,96.305,6.95,93.24,3475.80,96.305,3475.80,96.305
Average,1:1,25,12.51,91.833,12.51,6153.09,6153.09,12.03,96.18,6135.29,99.704,5930.22,96.383,11.51,91.83,6095.08,99.037,5446.83,88.549,12.01,96.07,6026.30,97.912,6026.30,97.912,12.01,96.07,6026.30,97.912,6026.30,97.912
Average,1:1,50,25.13,95.980,25.13,12449.51,12449.51,24.63,98.02,12440.22,99.925,12215.29,98.134,24.13,95.98,12420.76,99.767,11733.18,94.279,24.62,97.96,12321.31,98.954,12321.31,98.954,24.62,97.96,12321.31,98.954,12321.31,98.954
Average,1:1,100,50.02,97.990,50.02,24844.12,24844.12,49.52,98.99,24839.45,99.981,24609.95,99.057,49.02,97.99,24829.36,99.940,24110.79,97.055,49.51,98.98,24716.41,99.483,24716.41,99.483,49.51,98.98,24716.41,99.483,24716.41,99.483
Average,1:1,500,249.88,99.599,249.88,124650.32,124650.32,249.39,99.80,124649.37,99.999,124414.51,99.810,248.88,99.59,124647.41,99.997,123924.17,99.417,249.38,99.80,124526.43,99.900,124526.43,99.900,249.38,99.80,124526.43,99.900,124526.43,99.900
Average,1:1,1000,499.95,99.799,499.95,249618.79,249618.79,499.44,99.89,249618.29,99.999,249369.78,99.900,498.95,99.79,249617.30,99.999,248874.49,99.702,499.44,99.89,249491.91,99.949,249491.91,99.949,499.44,99.89,249491.91,99.949,249491.91,99.949
