stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2,2,1.00,3.828,1.00,808.57,808.57,0.60,55.01,601.11,55.305,601.11,55.305,0.60,55.01,610.95,56.055,610.95,56.055
Average,1:2,3,1.50,17.282,1.50,1304.92,1304.92,1.10,72.92,1083.31,76.209,1083.31,76.209,1.10,72.92,1098.64,77.279,1098.64,77.279
Average,1:2,4,2.00,30.110,2.00,1796.18,1796.18,1.61,81.27,1578.60,85.318,1578.60,85.318,1.61,81.27,1601.96,86.775,1601.96,86.775
Average,1:2,5,2.49,39.969,2.49,2303.69,2303.69,2.10,84.89,2080.10,88.851,2080.10,88.851,2.10,84.89,2107.93,90.209,2107.93,90.209
Average,1:2,10,4.98,65.598,4.98,4788.36,4788.36,4.61,92.79,4561.35,95.040,4561.35,95.040,4.61,92.79,4600.45,95.921,4600.45,95.921
Average,1:2,15,7.53,76.044,7.53,7312.71,7312.71,7.14,94.94,7080.93,96.718,7080.93,96.718,7.14,94.94,7117.85,97.253,7117.85,97.253
Average,1:2,25,12.48,84.961,12.48,12297.84,12297.84,12.11,97.04,12069.00,98.098,12069.00,98.098,12.11,97.04,12111.77,98.455,12111.77,98.455
Average,1:2,50,24.93,92.231,24.93,24707.13,24707.13,24.54,98.46,24473.72,99.041,24473.72,99.041,24.54,98.46,24516.97,99.220,24516.97,99.220
Average,1:2,100,49.99,96.063,49.99,49823.54,49823.54,49.63,99.28,49592.65,99.534,49592.65,99.534,49.63,99.28,49641.56,99.633,49641.56,99.633
Average,1:2,500,250.08,99.202,250.08,249682.74,249682.74,249.69,99.84,249442.98,99.903,249442.98,99.903,249.69,99.84,249488.02,99.921,249488.02,99.921
Average,1:2,1000,499.99,99.600,499.99,499363.18,499363.18,499.61,99.92,499127.38,99.952,499127.38,99.952,499.61,99.92,499175.00,99.962,499175.00,99.962
