stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:2,2,0.99,1.878,0.99,826.65,826.65,0.48,45.78,489.67,44.502,489.67,44.502,0.48,45.78,490.45,44.576,490.45,44.576
Average,2:2,3,1.49,16.525,1.49,1321.22,1321.22,0.99,68.69,991.86,71.363,991.86,71.363,0.99,68.69,993.88,71.553,993.88,71.553
Average,2:2,4,1.98,30.583,1.98,1833.27,1833.27,1.49,76.57,1493.66,79.979,1493.66,79.979,1.49,76.57,1495.28,80.056,1495.28,80.056
Average,2:2,5,2.49,40.986,2.49,2335.16,2335.16,1.98,80.06,1981.00,83.853,1981.00,83.853,1.98,80.06,1983.44,83.949,1983.44,83.949
Average,2:2,10,4.99,65.991,4.99,4843.49,4843.49,4.49,90.16,4481.38,92.355,4481.38,92.355,4.49,90.16,4482.07,92.390,4482.07,92.390
Average,2:2,15,7.53,76.247,7.53,7390.77,7390.77,7.03,93.47,7030.75,95.037,7030.75,95.037,7.03,93.47,7030.97,95.038,7030.97,95.038
Average,2:2,25,12.47,85.022,12.47,12328.18,12328.18,11.98,96.06,11963.03,97.012,11963.03,97.012,11.98,96.06,11958.45,96.974,11958.45,96.974
Average,2:2,50,24.98,92.266,24.98,24836.89,24836.89,24.49,98.05,24472.00,98.522,24472.00,98.522,24.49,98.05,24470.15,98.514,24470.15,98.514
Average,2:2,100,50.02,96.070,50.02,49866.36,49866.36,49.53,99.02,49502.04,99.268,49502.04,99.268,49.53,99.02,49504.47,99.273,49504.47,99.273
Average,2:2,500,249.88,99.202,249.88,249537.39,249537.39,249.38,99.79,249162.95,99.849,249162.95,99.849,249.38,99.79,249164.97,99.850,249164.97,99.850
Average,2:2,1000,500.15,99.600,500.15,499492.07,499492.07,499.65,99.89,499118.78,99.925,499118.78,99.925,499.65,99.89,499122.92,99.926,499122.92,99.926
