stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,4:2:6,2,1.00,0.090,1.00,3576.25,3576.25,0.51,50.98,2033.71,47.804,2033.71,47.804,0.51,50.98,2040.53,47.951,2040.53,47.951
Average,4:2:6,3,1.49,16.494,1.49,5358.29,5358.29,0.99,73.19,3935.76,74.124,3935.76,74.124,0.99,73.19,3963.32,74.642,3963.32,74.642
Average,4:2:6,4,2.00,32.732,2.00,7540.28,7540.28,1.50,75.69,5977.23,77.889,5977.23,77.889,1.50,75.69,5986.04,78.000,5986.04,78.000
Average,4:2:6,5,2.49,41.503,2.49,9550.76,9550.76,1.99,82.44,7979.91,83.624,7979.91,83.624,1.99,82.44,8005.79,83.898,8005.79,83.898
Average,4:2:6,10,4.99,66.372,4.99,19569.84,19569.84,4.48,90.11,17899.04,91.354,17899.04,91.354,4.48,90.11,17926.63,91.493,17926.63,91.493
Average,4:2:6,15,7.51,76.360,7.51,29737.18,29737.18,7.02,93.64,28056.54,94.328,28056.54,94.328,7.02,93.64,28107.02,94.497,28107.02,94.497
Average,4:2:6,25,12.48,85.109,12.48,49499.68,49499.68,11.98,96.11,47807.26,96.569,47807.26,96.569,11.98,96.11,47865.13,96.686,47865.13,96.686
Average,4:2:6,50,25.00,92.295,25.00,99589.02,99589.02,24.49,97.95,97841.25,98.241,97841.25,98.241,24.49,97.95,97886.43,98.286,97886.43,98.286
Average,4:2:6,100,49.95,96.071,49.95,199209.07,199209.07,49.47,99.04,197517.94,99.149,197517.94,99.149,49.47,99.04,197573.94,99.177,197573.94,99.177
Average,4:2:6,500,250.04,99.203,250.04,998943.50,998943.50,249.54,99.80,997209.82,99.826,997209.82,99.826,249.54,99.80,997268.12,99.832,997268.12,99.832
Average,4:2:6,1000,500.05,99.600,500.05,1998068.28,1998068.28,499.55,99.89,1996328.95,99.912,1996328.95,99.912,499.55,99.89,1996375.49,99.915,1996375.49,99.915
