stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,4:3:2:1,2,0.99,0.151,0.99,2552.53,2552.53,0.42,41.95,1280.48,40.055,1280.48,40.055,0.42,41.95,1275.65,39.926,1275.65,39.926
Average,4:3:2:1,3,1.50,16.883,1.50,3962.82,3962.82,0.97,70.32,2908.75,73.683,2908.75,73.683,0.97,70.32,2916.98,73.909,2916.98,73.909
Average,4:3:2:1,4,1.99,32.383,1.99,5497.68,5497.68,1.42,72.44,4268.94,76.406,4268.94,76.406,1.42,72.44,4268.95,76.406,4268.95,76.406
Average,4:3:2:1,5,2.49,41.517,2.49,6973.17,6973.17,1.95,80.12,5836.10,83.503,5836.10,83.503,1.95,80.12,5838.59,83.528,5838.59,83.528
Average,4:3:2:1,10,4.99,66.307,4.99,14489.11,14489.11,4.43,89.23,13272.03,91.508,13272.03,91.508,4.43,89.23,13274.56,91.527,13274.56,91.527
Average,4:3:2:1,15,7.49,76.303,7.49,22052.80,22052.80,6.93,92.62,20791.77,94.238,20791.77,94.238,6.93,92.62,20796.50,94.257,20796.50,94.257
Average,4:3:2:1,25,12.52,85.153,12.52,37067.38,37067.38,11.95,95.48,35802.75,96.577,35802.75,96.577,11.95,95.48,35802.52,96.573,35802.52,96.573
Average,4:3:2:1,50,24.99,92.291,24.99,74498.48,74498.48,24.44,97.80,73241.14,98.307,73241.14,98.307,24.44,97.80,73252.91,98.322,73252.91,98.322
Average,4:3:2:1,100,50.02,96.076,50.02,149498.37,149498.37,49.47,98.88,148217.75,99.142,148217.75,99.142,49.47,98.88,148211.15,99.138,148211.15,99.138
Average,4:3:2:1,500,249.95,99.202,249.95,748425.19,748425.19,249.38,99.77,747136.29,99.827,747136.29,99.827,249.38,99.77,747130.37,99.826,747130.37,99.826
Average,4:3:2:1,1000,500.21,99.600,500.21,1498836.96,1498836.96,499.66,99.88,1497561.66,99.914,1497561.66,99.914,499.66,99.88,1497572.71,99.915,1497572.71,99.915
