stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:16,2,0.96,1.676,0.96,1562675.03,1562675.03,0.72,69.78,1295706.10,66.289,1295706.10,66.289,0.72,70.33,1456693.23,70.050,1456693.23,70.050
Average,1:16,3,1.49,16.671,1.49,2721547.06,2721547.06,1.20,82.28,2375852.71,80.503,2375852.71,80.503,1.21,83.26,2608674.94,87.589,2608674.94,87.589
Average,1:16,4,1.99,30.654,1.99,3471046.43,3471046.43,1.70,86.70,3113691.41,86.686,3113691.41,86.686,1.72,87.80,3369718.08,93.265,3369718.08,93.265
Average,1:16,5,2.48,40.555,2.48,4281955.49,4281955.49,2.20,89.82,3840771.14,89.221,3840771.14,89.221,2.22,90.60,4167158.34,95.246,4167158.34,95.246
Average,1:16,10,4.98,65.881,4.98,9255014.56,9255014.56,4.68,94.07,8686960.77,94.054,8686960.77,94.054,4.72,94.99,9160712.59,98.057,9160712.59,98.057
Average,1:16,15,7.50,76.112,7.50,13430113.44,13430113.44,7.17,95.66,12922634.89,96.148,12922634.89,96.148,7.23,96.46,13338082.04,98.802,13338082.04,98.802
Average,1:16,25,12.48,85.026,12.48,22688199.75,22688199.75,12.15,97.36,22082674.86,97.336,22082674.86,97.336,12.23,98.04,22609226.83,99.331,22609226.83,99.331
Average,1:16,50,25.04,92.282,25.04,45563641.08,45563641.08,24.63,98.37,44864400.75,98.419,44864400.75,98.419,24.79,99.00,45483062.55,99.671,45483062.55,99.671
Average,1:16,100,50.09,96.075,50.09,92525211.69,92525211.69,49.62,99.05,91779072.80,99.151,91779072.80,99.151,49.84,99.50,92445298.40,99.838,92445298.40,99.838
Average,1:16,500,249.96,99.202,250.00,459123584.89,459123584.89,249.18,99.68,458122514.83,99.768,458122514.83,99.768,249.80,99.91,459045869.73,99.968,459045869.73,99.968
Average,1:16,1000,499.88,99.600,500.03,915484609.33,915484609.33,498.87,99.79,914119530.44,99.864,914119530.44,99.864,499.86,99.96,915404397.82,99.983,915404397.82,99.983
