stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3,2,0.95,2.363,0.95,485953.70,485953.70,0.61,57.84,410133.33,57.003,410133.33,57.003,0.61,58.21,429337.59,59.013,429337.59,59.013
Average,1:2:3,3,1.47,16.196,1.47,796178.22,796178.22,1.11,76.81,702427.90,79.047,702427.90,79.047,1.12,77.10,749119.27,82.951,749119.27,82.951
Average,1:2:3,4,1.96,29.399,1.96,1091945.79,1091945.79,1.60,82.82,991272.55,87.012,991272.55,87.012,1.60,83.06,1042869.00,90.547,1042869.00,90.547
Average,1:2:3,5,2.45,39.785,2.45,1366220.49,1366220.49,2.10,86.59,1252570.47,90.241,1252570.47,90.241,2.11,86.94,1321080.30,93.925,1321080.30,93.925
Average,1:2:3,10,4.94,65.457,4.94,2695530.28,2695530.28,4.57,92.93,2576563.22,95.404,2576563.22,95.404,4.59,93.18,2657893.75,97.704,2657893.75,97.704
Average,1:2:3,15,7.47,75.966,7.47,4391778.44,4391778.44,7.10,95.19,4271466.98,97.011,4271466.98,97.011,7.12,95.45,4354140.72,98.611,4354140.72,98.611
Average,1:2:3,25,12.49,85.014,12.49,7226387.45,7226387.45,12.10,96.90,7081243.07,98.087,7081243.07,98.087,12.13,97.18,7193119.55,99.201,7193119.55,99.201
Average,1:2:3,50,24.97,92.255,24.97,14422086.33,14422086.33,24.55,98.33,14260736.71,98.962,14260736.71,98.962,24.61,98.56,14390079.29,99.605,14390079.29,99.605
Average,1:2:3,100,49.91,96.059,49.91,28670869.77,28670869.77,49.44,99.07,28470587.01,99.410,28470587.01,99.410,49.56,99.30,28642498.42,99.816,28642498.42,99.816
Average,1:2:3,500,249.91,99.202,249.93,142792050.93,142792050.93,249.16,99.69,142397704.30,99.798,142397704.30,99.798,249.58,99.85,142762715.96,99.965,142762715.96,99.965
Average,1:2:3,1000,499.79,99.600,499.82,285601044.60,285601044.60,498.74,99.78,285007015.74,99.852,285007015.74,99.852,499.47,99.92,285572560.55,99.982,285572560.55,99.982
