stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:3,2,0.99,1.292,0.99,310444.26,310444.26,0.53,51.90,207656.10,48.328,207656.10,48.328,0.54,52.12,222750.17,50.003,222750.17,50.003
Average,2:3,3,1.50,16.949,1.50,474574.46,474574.46,1.03,71.45,367516.82,73.026,367516.82,73.026,1.03,71.63,373135.33,74.185,373135.33,74.185
Average,2:3,4,2.00,31.407,2.00,674342.60,674342.60,1.54,78.04,560442.35,80.995,560442.35,80.995,1.54,78.24,571719.06,82.075,571719.06,82.075
Average,2:3,5,2.48,41.093,2.48,794734.13,794734.13,2.03,82.79,688193.45,85.146,688193.45,85.146,2.04,82.95,699520.64,85.913,699520.64,85.913
Average,2:3,10,4.98,66.005,4.98,1700543.45,1700543.45,4.52,91.07,1582841.99,92.892,1582841.99,92.892,4.53,91.27,1596817.60,93.360,1596817.60,93.360
Average,2:3,15,7.48,76.127,7.48,2566442.69,2566442.69,7.01,93.79,2451964.49,95.172,2451964.49,95.172,7.02,93.98,2462604.29,95.529,2462604.29,95.529
Average,2:3,25,12.48,85.054,12.48,4271963.40,4271963.40,12.00,96.24,4149833.97,97.040,4149833.97,97.040,12.03,96.43,4163949.99,97.372,4163949.99,97.372
Average,2:3,50,24.97,92.269,24.97,8652961.29,8652961.29,24.49,98.07,8539182.85,98.512,8539182.85,98.512,24.53,98.24,8546697.41,98.703,8546697.41,98.703
Average,2:3,100,49.91,96.063,49.91,17052039.53,17052039.53,49.37,98.92,16919854.39,99.199,16919854.39,99.199,49.46,99.09,16947038.81,99.331,16947038.81,99.331
Average,2:3,500,249.92,99.202,249.96,86046844.78,86046844.78,249.16,99.69,85863791.50,99.808,85863791.50,99.808,249.53,99.82,85938956.79,99.866,85938956.79,99.866
Average,2:3,1000,499.87,99.600,500.00,171804936.02,171804936.02,498.90,99.80,171554242.60,99.885,171554242.60,99.885,499.58,99.91,171691350.72,99.934,171691350.72,99.934
