stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,4:3:2:1,2,0.99,0.111,0.99,606430.66,606430.66,0.35,35.65,214142.40,33.280,214142.40,33.280,0.35,35.71,217624.14,33.555,217624.14,33.555
Average,4:3:2:1,3,1.46,15.595,1.46,938647.54,938647.54,0.93,69.51,689260.00,73.473,689260.00,73.473,0.94,69.95,665968.79,71.804,665968.79,71.804
Average,4:3:2:1,4,1.97,31.787,1.97,1321492.47,1321492.47,1.38,70.69,1027604.59,77.262,1027604.59,77.262,1.38,71.07,997046.36,75.203,997046.36,75.203
Average,4:3:2:1,5,2.46,41.056,2.46,1686591.62,1686591.62,1.90,79.07,1420666.32,83.717,1420666.32,83.717,1.91,79.30,1377453.27,82.152,1377453.27,82.152
Average,4:3:2:1,10,4.97,66.176,4.97,3372698.48,3372698.48,4.37,88.39,3104575.26,91.666,3104575.26,91.666,4.39,88.68,3056824.45,90.954,3056824.45,90.954
Average,4:3:2:1,15,7.46,76.194,7.46,5091848.15,5091848.15,6.86,92.11,4810637.45,94.476,4810637.45,94.476,6.88,92.40,4771394.91,94.055,4771394.91,94.055
Average,4:3:2:1,25,12.41,85.028,12.41,8505323.42,8505323.42,11.81,95.21,8222550.54,96.633,8222550.54,96.633,11.84,95.41,8185514.43,96.389,8185514.43,96.389
Average,4:3:2:1,50,24.92,92.268,24.92,17072893.71,17072893.71,24.31,97.57,16741833.46,98.233,16741833.46,98.233,24.37,97.80,16760224.06,98.258,16760224.06,98.258
Average,4:3:2:1,100,49.88,96.065,49.88,34449250.07,34449250.07,49.23,98.68,34102330.06,99.051,34102330.06,99.051,49.33,98.89,34148293.98,99.130,34148293.98,99.130
Average,4:3:2:1,500,249.81,99.202,249.81,171567883.73,171567883.73,248.87,99.62,170927978.12,99.719,170927978.12,99.719,249.25,99.77,171259611.34,99.820,171259611.34,99.820
Average,4:3:2:1,1000,499.74,99.600,499.76,343516821.90,343516821.90,498.47,99.74,342590924.59,99.811,342590924.59,99.811,499.19,99.88,343212573.40,99.911,343212573.40,99.911
