stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1:1:1,2,0.99,5.909,0.99,1454.90,1454.90,0.54,48.54,1097.95,51.719,1097.95,51.719,0.54,48.54,1097.95,51.719,1097.95,51.719
Average,1:1:1:1:1,3,1.51,25.994,1.51,2447.93,2447.93,1.02,67.93,2060.08,75.797,2060.08,75.797,1.02,67.93,2060.08,75.797,2060.08,75.797
Average,1:1:1:1:1,4,2.01,43.919,2.01,3432.23,3432.23,1.54,77.60,3082.18,87.166,3082.18,87.166,1.54,77.60,3082.18,87.166,3082.18,87.166
Average,1:1:1:1:1,5,2.50,55.806,2.50,4385.69,4385.69,2.02,81.51,4040.73,90.744,4040.73,90.744,2.02,81.51,4040.73,90.744,4040.73,90.744
Average,1:1:1:1:1,10,4.98,79.151,4.98,9334.25,9334.25,4.50,90.42,9002.60,96.225,9002.60,96.225,4.50,90.42,9002.60,96.225,9002.60,96.225
Average,1:1:1:1:1,15,7.49,86.352,7.49,14352.91,14352.91,7.01,93.57,14031.28,97.672,14031.28,97.672,7.01,93.57,14031.28,97.672,14031.28,97.672
Average,1:1:1:1:1,25,12.49,91.883,12.49,24304.39,24304.39,11.99,96.09,23985.05,98.672,23985.05,98.672,11.99,96.09,23985.05,98.672,23985.05,98.672
Average,1:1:1:1:1,50,24.99,95.973,24.99,49183.46,49183.46,24.49,98.01,48869.00,99.353,48869.00,99.353,24.49,98.01,48869.00,99.353,48869.00,99.353
Average,1:1:1:1:1,100,50.00,97.993,50.00,99239.25,99239.25,49.50,98.99,98917.10,99.674,98917.10,99.674,49.50,98.99,98917.10,99.674,98917.10,99.674
Average,1:1:1:1:1,500,249.85,99.599,249.85,498384.39,498384.39,249.35,99.79,498073.80,99.937,498073.80,99.937,249.35,99.79,498073.80,99.937,498073.80,99.937
Average,1:1:1:1:1,1000,499.86,99.799,499.86,998047.06,998047.06,499.35,99.89,997727.62,99.967,997727.62,99.967,499.35,99.89,997727.62,99.967,997727.62,99.967
