stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1,2,0.96,5.545,0.96,206165.93,206165.93,0.49,43.46,165926.42,46.123,165926.42,46.123,0.49,43.50,165934.11,46.177,165934.11,46.177
Average,1:1:1,3,1.47,24.282,1.47,313263.49,313263.49,0.96,64.69,278543.09,73.042,278543.09,73.042,0.96,64.76,278598.98,73.143,278598.98,73.143
Average,1:1:1,4,1.93,40.542,1.93,406648.57,406648.57,1.45,75.79,379630.19,85.733,379630.19,85.733,1.46,75.86,379672.57,85.836,379672.57,85.836
Average,1:1:1,5,2.46,54.598,2.46,537247.96,537247.96,1.98,80.74,510531.68,90.871,510531.68,90.871,1.98,80.85,511216.78,90.971,511216.78,90.971
Average,1:1:1,10,4.93,78.726,4.93,1133690.97,1133690.97,4.43,89.88,1111435.36,96.625,1111435.36,96.625,4.43,90.02,1112754.27,96.723,1112754.27,96.723
Average,1:1:1,15,7.44,86.143,7.44,1665615.78,1665615.78,6.95,93.51,1644526.90,98.096,1644526.90,98.096,6.96,93.61,1648421.63,98.187,1648421.63,98.187
Average,1:1:1,25,12.44,91.832,12.45,2742821.90,2742821.90,11.93,95.91,2718936.34,98.891,2718936.34,98.891,11.95,96.00,2726382.17,98.958,2726382.17,98.958
Average,1:1:1,50,24.87,95.948,24.88,5639899.80,5639899.80,24.35,97.88,5619152.15,99.449,5619152.15,99.449,24.37,97.97,5623667.53,99.520,5623667.53,99.520
Average,1:1:1,100,49.88,97.987,49.89,11509646.84,11509646.84,49.33,98.89,11472917.95,99.684,11472917.95,99.684,49.40,99.03,11495352.15,99.779,11495352.15,99.779
Average,1:1:1,500,249.94,99.599,249.99,57305496.75,57305496.75,249.14,99.68,57203696.43,99.875,57203696.43,99.875,249.48,99.79,57291047.81,99.955,57291047.81,99.955
Average,1:1:1,1000,499.68,99.799,499.77,114300133.42,114300133.42,498.62,99.78,114102325.12,99.903,114102325.12,99.903,499.27,99.90,114286556.55,99.977,114286556.55,99.977
