iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeewithoutgftzerocountratio,McAfeewithoutgftzerototalgft,McAfeewithoutgftzerototalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicwithoutgftzerocountratio,McAfeeWithoutHeuristicwithoutgftzerototalgft,McAfeeWithoutHeuristicwithoutgftzerototalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:1,2,1.00,8.440,1.00,40538.71,40538.71,0.58,50.43,31249.18,54.960,50.43,31249.18,54.960,27744.85,51.044,0.16,8.44,10193.47,12.965,8.44,10193.47,12.965,6689.14,9.049,0.50,42.53,25565.51,44.798,42.53,25565.51,44.798,25565.51,44.798,0.50,42.53,25565.51,44.798,42.53,25565.51,44.798,25565.51,44.798
303,Average,1:1,3,1.49,25.507,1.49,63692.44,63692.44,1.07,68.49,55962.86,76.800,68.49,55962.86,76.800,50621.84,70.899,0.54,25.50,33004.02,37.636,25.50,33004.02,37.636,21038.21,25.293,0.99,63.75,49457.33,68.598,63.75,49457.33,68.598,49457.33,68.598,0.99,63.75,49457.33,68.598,63.75,49457.33,68.598,49457.33,68.598
303,Average,1:1,4,2.01,42.340,2.01,89346.66,89346.66,1.57,77.01,82466.99,87.537,77.01,82466.99,87.537,74632.62,79.938,1.02,42.34,62167.73,59.596,42.34,62167.73,59.596,40774.39,40.276,1.51,73.96,75437.66,79.929,73.96,75437.66,79.929,75437.66,79.929,1.51,73.96,75437.66,79.929,73.96,75437.66,79.929,75437.66,79.929
303,Average,1:1,5,2.49,54.245,2.49,113296.15,113296.15,2.05,81.97,107311.83,92.913,81.97,107311.83,92.913,97825.72,84.964,1.50,54.24,89706.96,73.566,54.24,89706.96,73.566,60846.10,50.816,1.99,79.60,99441.40,85.836,79.60,99441.40,85.836,99441.40,85.836,1.99,79.60,99441.40,85.836,79.60,99441.40,85.836,99441.40,85.836
303,Average,1:1,10,5.01,78.794,5.01,238365.83,238365.83,4.53,90.48,234463.51,98.237,90.48,234463.51,98.237,218734.51,91.685,4.01,78.79,225082.43,93.979,78.79,225082.43,93.979,175949.84,73.677,4.50,89.84,225075.17,94.112,89.84,225075.17,94.112,225075.17,94.112,4.50,89.84,225075.17,94.112,89.84,225075.17,94.112,225075.17,94.112
303,Average,1:1,15,7.48,86.110,7.48,361653.51,361653.51,7.00,93.57,358832.55,99.179,93.57,358832.55,99.179,340680.75,94.155,6.48,86.11,352315.90,97.303,86.11,352315.90,97.303,294785.31,81.507,6.99,93.41,348883.77,96.360,93.41,348883.77,96.360,348883.77,96.360,6.99,93.41,348883.77,96.360,93.41,348883.77,96.360,348883.77,96.360
303,Average,1:1,25,12.49,91.822,12.49,611329.79,611329.79,12.00,96.06,609522.87,99.699,96.06,609522.87,99.699,588721.95,96.323,11.49,91.82,605619.24,99.047,91.82,605619.24,99.047,541986.15,88.684,11.99,96.02,598685.12,97.885,96.02,598685.12,97.885,598685.12,97.885,11.99,96.02,598685.12,97.885,96.02,598685.12,97.885,598685.12,97.885
303,Average,1:1,50,24.98,95.956,24.98,1236556.83,1236556.83,24.49,98.02,1235610.56,99.922,98.02,1235610.56,99.922,1212897.13,98.092,23.98,95.95,1233639.70,99.762,95.95,1233639.70,99.762,1164568.86,94.199,24.48,97.97,1223818.08,98.958,97.97,1223818.08,98.958,1223818.08,98.958,24.48,97.97,1223818.08,98.958,97.97,1223818.08,98.958,1223818.08,98.958
303,Average,1:1,100,49.99,97.989,49.99,2486401.44,2486401.44,49.49,99.01,2485901.10,99.979,99.01,2485901.10,99.979,2461403.57,98.996,48.99,97.98,2484900.69,99.939,97.99,2484900.69,99.939,2411819.00,97.007,49.49,98.99,2473836.18,99.491,99.00,2473836.18,99.491,2473836.18,99.491,49.49,98.99,2473836.18,99.491,99.00,2473836.18,99.491,2473836.18,99.491
303,Average,1:1,500,249.86,99.599,249.86,12486128.43,12486128.43,249.36,99.79,12486026.88,99.999,99.79,12486026.88,99.999,12460760.95,99.797,248.86,99.59,12485832.90,99.997,99.60,12485832.90,99.997,12412386.71,99.409,249.36,99.79,12473493.52,99.898,99.79,12473493.52,99.898,12473493.52,99.898,249.36,99.79,12473493.52,99.898,99.79,12473493.52,99.898,12473493.52,99.898
303,Average,1:1,1000,499.96,99.799,499.96,24986514.54,24986514.54,499.47,99.90,24986465.89,99.999,99.90,24986465.89,99.999,24962191.14,99.902,498.96,99.79,24986365.66,99.999,99.80,24986365.66,99.999,24912122.59,99.702,499.47,99.90,24974137.44,99.950,99.90,24974137.44,99.950,24974137.44,99.950,499.47,99.90,24974137.44,99.950,99.90,24974137.44,99.950,24974137.44,99.950
