iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeewithoutgftzerocountratio,McAfeewithoutgftzerototalgft,McAfeewithoutgftzerototalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicwithoutgftzerocountratio,McAfeeWithoutHeuristicwithoutgftzerototalgft,McAfeeWithoutHeuristicwithoutgftzerototalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:1,2,0.98,8.095,0.98,100281.03,100281.03,0.54,46.74,77343.13,51.532,46.76,77343.13,51.532,70540.90,48.199,0.16,8.12,24704.72,12.908,8.14,24704.72,12.908,17902.48,9.575,0.49,41.31,74617.56,44.620,41.33,74617.56,44.620,74617.56,44.620,0.49,41.31,74617.56,44.620,41.33,74617.56,44.620,74617.56,44.620
303,Average,1:1,3,1.49,25.710,1.49,157423.63,157423.63,1.05,66.96,141331.43,76.646,67.03,141331.43,76.646,130676.79,71.199,0.54,25.77,86648.72,39.341,25.84,86648.72,39.341,62046.41,28.392,1.00,63.79,137185.45,70.932,63.86,137185.45,70.932,137185.45,70.932,1.00,63.79,137185.45,70.932,63.86,137185.45,70.932,137185.45,70.932
303,Average,1:1,4,1.99,41.982,1.99,215460.59,215460.59,1.53,75.84,202180.63,87.719,75.89,202180.63,87.719,187835.25,80.988,1.01,42.02,157605.48,61.164,42.07,157605.48,61.164,115407.70,44.202,1.49,73.70,198035.84,82.284,73.75,198035.84,82.284,198035.84,82.284,1.49,73.70,198035.84,82.284,73.75,198035.84,82.284,198035.84,82.284
303,Average,1:1,5,2.51,54.276,2.51,267077.26,267077.26,2.04,80.91,257621.42,93.155,80.94,257621.42,93.155,243308.90,86.380,1.51,54.29,220807.53,75.441,54.31,220807.53,75.441,170328.11,55.803,2.01,79.79,252010.93,88.716,79.82,252010.93,88.716,252010.93,88.716,2.01,79.79,252010.93,88.716,79.82,252010.93,88.716,252010.93,88.716
303,Average,1:1,10,4.99,78.677,4.99,566806.45,566806.45,4.51,90.36,561200.99,98.608,90.42,561200.99,98.608,538492.90,93.525,3.99,78.69,545622.40,94.991,78.75,545622.40,94.991,467523.72,78.583,4.50,90.19,553995.99,96.063,90.25,553995.99,96.063,553995.99,96.063,4.50,90.19,553995.99,96.063,90.25,553995.99,96.063,553995.99,96.063
303,Average,1:1,15,7.48,86.129,7.49,831317.46,831317.46,7.01,93.54,827655.87,99.395,93.61,827655.87,99.395,803737.11,95.632,6.49,86.14,817988.66,97.912,86.21,817988.66,97.912,736327.24,85.660,6.99,93.32,819473.77,97.540,93.40,819473.77,97.540,819473.77,97.540,6.99,93.32,819473.77,97.540,93.40,819473.77,97.540,819473.77,97.540
303,Average,1:1,25,12.50,91.825,12.50,1409566.18,1409566.18,12.01,96.01,1407383.77,99.779,96.08,1407383.77,99.779,1382477.49,97.307,11.50,91.83,1401882.39,99.284,91.90,1401882.39,99.284,1316795.99,91.503,12.00,96.00,1398535.09,98.642,96.07,1398535.09,98.642,1398535.09,98.642,12.00,96.00,1398535.09,98.642,96.07,1398535.09,98.642,1398535.09,98.642
303,Average,1:1,50,25.00,95.959,25.01,2834434.14,2834434.14,24.52,98.01,2833268.66,99.947,98.08,2833268.66,99.947,2805403.37,98.694,24.01,95.96,2830671.02,99.827,96.02,2830671.02,99.827,2741506.65,95.792,24.51,97.98,2824265.68,99.360,98.04,2824265.68,99.360,2824265.68,99.360,24.51,97.98,2824265.68,99.360,98.04,2824265.68,99.360,2824265.68,99.360
303,Average,1:1,100,49.96,97.988,49.99,5715550.50,5715550.50,49.48,98.98,5714943.86,99.985,99.04,5714943.86,99.985,5685183.76,99.299,48.99,97.98,5713695.79,99.956,98.05,5713695.79,99.956,5623680.70,97.846,49.49,99.00,5705720.44,99.693,99.06,5705720.44,99.693,5705720.44,99.693,49.49,99.00,5705720.44,99.693,99.06,5705720.44,99.693,5705720.44,99.693
303,Average,1:1,500,249.89,99.599,250.06,28642015.01,28642015.01,249.51,99.78,28641898.80,99.999,99.85,28641898.80,99.999,28612910.36,99.860,249.06,99.59,28641672.55,99.998,99.66,28641672.55,99.998,28556442.35,99.587,249.55,99.79,28632291.83,99.940,99.86,28632291.83,99.940,28632291.83,99.940,249.55,99.79,28632291.83,99.940,99.86,28632291.83,99.940,28632291.83,99.940
