n,k,mcafeek,mcafeetgft,mcafeemgft,extcompk,extcompgft,ascpricek,ascpricegft
2,1.73,63.64,90.07,80.15,59.09,63.21,63.64,76.46
3,2.36,77.27,95.81,88.43,63.64,72.41,72.73,83.86
4,3.00,81.06,97.69,92.73,71.46,79.72,81.06,90.00
5,3.55,83.23,97.58,91.36,71.21,79.63,86.01,92.15
10,6.45,91.81,99.57,97.25,81.85,87.93,91.98,96.30
15,9.45,93.24,99.78,97.90,85.05,90.41,93.51,97.37
25,15.00,95.18,99.94,99.20,92.28,95.72,96.58,98.48
50,28.39,97.68,99.98,99.53,93.21,96.16,98.07,99.21
100,54.76,98.73,100.00,99.92,96.59,98.20,98.83,99.47
500,265.45,99.71,100.00,99.03,98.38,99.26,99.83,99.93
1000,526.18,99.87,100.00,98.71,99.01,99.51,99.93,99.97
2000,1049.12,99.92,100.00,98.41,99.58,99.80,99.95,99.98
5000,2549.58,99.97,100.00,99.93,99.83,99.90,99.97,99.99
10000,4806.48,99.98,100.00,100.00,99.90,99.93,99.99,100.00
