iterations,recipe,numofagents,meanoptimalcount,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
50000,[0- [1- None- 2- [3- None]]],2,1.0,0.27,27.101,744.4,290.3,38.996
50000,[0- [1- None- 2- [3- None]]],4,2.01,1.15,57.325,1715.1,1281.5,74.719
50000,[0- [1- None- 2- [3- None]]],6,3.0,2.12,70.751,2690.4,2342.6,87.074
50000,[0- [1- None- 2- [3- None]]],10,5.0,4.13,82.481,4682.8,4450.7,95.042
50000,[0- [1- None- 2- [3- None]]],16,8.0,7.12,89.026,7661.4,7506.7,97.981
50000,[0- [1- None- 2- [3- None]]],26,12.99,12.12,93.266,12643.1,12544.8,99.222
50000,[0- [1- None- 2- [3- None]]],50,25.0,24.13,96.517,24645.3,24592.5,99.786
50000,[0- [1- None- 2- [3- None]]],100,50.03,49.15,98.254,49637.8,49610.8,99.946
50000,[0- [1- None- 2- [3- None]]],500,249.97,249.09,99.65,249367.7,249362.2,99.998
50000,[0- [1- None- 2- [3- None]]],1000,499.91,499.04,99.826,499041.7,499039.0,99.999
