iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
10,[0- [1- None- 2- [3- None]]],2,1,0.8,0.8,0.00,0.4,40.00,701.9,465.2,66.279
10,[0- [1- None- 2- [3- None]]],4,1.9,1.1,1.2,9.09,1.1,57.89,1617.8,1126.2,69.609
10,[0- [1- None- 2- [3- None]]],6,2.6,1.1,1.6,9.09,1.8,69.23,2428.9,1979.0,81.475
10,[0- [1- None- 2- [3- None]]],10,5.4,2,3.4,50.00,4.6,85.19,5036.3,4841.3,96.130
10,[0- [1- None- 2- [3- None]]],16,8.1,3.4,4.7,70.59,7.2,88.89,7489.8,7393.5,98.713
10,[0- [1- None- 2- [3- None]]],26,11.8,5.5,6.3,81.82,11.1,94.07,11459.6,11365.2,99.176
10,[0- [1- None- 2- [3- None]]],50,24.9,11,13.9,90.91,24,96.39,23215.5,23172.4,99.814
10,[0- [1- None- 2- [3- None]]],100,50.4,23.3,27.1,95.71,49.1,97.42,48726.0,48687.6,99.921
10,[0- [1- None- 2- [3- None]]],500,249.8,120.7,129.1,99.17,249,99.68,249765.4,249761.2,99.998
10,[0- [1- None- 2- [3- None]]],1000,498.7,244.9,253.8,99.59,497.8,99.82,500286.1,500282.3,99.999
