iterations,recipe,numofagents,meanoptimalcount,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
50000,[0- [1- None- 2- [3- None]]],2,1.0,0.3,26.999,750.2,291.1,38.805
50000,[0- [1- None- 2- [3- None]]],4,2.0,1.1,57.259,1714.0,1280.2,74.694
50000,[0- [1- None- 2- [3- None]]],6,3.0,2.1,70.799,2684.9,2340.0,87.153
50000,[0- [1- None- 2- [3- None]]],10,5.0,4.1,82.399,4683.5,4450.3,95.021
50000,[0- [1- None- 2- [3- None]]],16,8.0,7.1,89.042,7656.4,7502.6,97.99
50000,[0- [1- None- 2- [3- None]]],26,13.0,12.1,93.259,12671.7,12573.0,99.221
50000,[0- [1- None- 2- [3- None]]],50,25.0,24.1,96.496,24652.8,24599.7,99.784
50000,[0- [1- None- 2- [3- None]]],100,50.0,49.1,98.244,49587.0,49560.0,99.945
50000,[0- [1- None- 2- [3- None]]],500,250.1,249.2,99.652,249502.7,249497.3,99.998
50000,[0- [1- None- 2- [3- None]]],1000,500.0,499.2,99.823,499174.0,499171.2,99.999
