iterations,recipe,numofagents,meanoptimalcount,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
500,[0- [1- None- 2- [3- None]]],2,1.98,1.12,56.72,1677.73,1242.77,74.07
500,[0- [1- None- 2- [3- None]]],3,3.01,2.14,71.09,2677.14,2344.19,87.56
500,[0- [1- None- 2- [3- None]]],4,4.02,3.13,77.83,3651.74,3365.64,92.17
500,[0- [1- None- 2- [3- None]]],5,4.92,4.05,82.24,4681.28,4435.69,94.75
500,[0- [1- None- 2- [3- None]]],10,10.04,9.2,91.63,9754.67,9634.41,98.77
500,[0- [1- None- 2- [3- None]]],15,14.99,14.1,94.07,14562.16,14472.63,99.39
500,[0- [1- None- 2- [3- None]]],25,25.16,24.3,96.57,24729.29,24676.72,99.79
500,[0- [1- None- 2- [3- None]]],50,50.01,49.16,98.29,49463.44,49437.81,99.95
500,[0- [1- None- 2- [3- None]]],100,100.16,99.31,99.15,99516.89,99503.85,99.99
500,[0- [1- None- 2- [3- None]]],500,499.93,499.06,99.82,498391.64,498388.8,100.0
500,[0- [1- None- 2- [3- None]]],1000,1000.76,999.93,99.91,999119.66,999118.3,100.0
