iterations,recipe,numofagents,meanoptimalcount,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
500,[0- [1- None- 2- [3- None]]],2,1.156,0.482,41.695,454.22,258.162,56.836
500,[0- [1- None- 2- [3- None]]],3,1.768,0.988,55.882,772.463,550.337,71.244
500,[0- [1- None- 2- [3- None]]],4,2.36,1.49,63.135,1064.233,838.912,78.828
500,[0- [1- None- 2- [3- None]]],5,2.938,2.02,68.754,1306.428,1110.546,85.006
500,[0- [1- None- 2- [3- None]]],10,5.898,4.9,83.079,2824.875,2685.778,95.076
500,[0- [1- None- 2- [3- None]]],15,8.924,7.938,88.951,4285.783,4189.892,97.763
500,[0- [1- None- 2- [3- None]]],25,14.762,13.79,93.415,7245.293,7183.474,99.147
500,[0- [1- None- 2- [3- None]]],50,29.99,28.978,96.625,14753.653,14723.072,99.793
500,[0- [1- None- 2- [3- None]]],100,59.874,58.898,98.369,29706.356,29692.111,99.952
500,[0- [1- None- 2- [3- None]]],500,299.628,298.57,99.646,149429.917,149426.594,99.998
500,[0- [1- None- 2- [3- None]]],1000,599.754,598.76,99.834,299105.547,299104.033,99.999
