stockname,recipe,numpossibletrades,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,1.24,313569.6,0.36,28.787,109965.4,33.272
Average,[0-> [1-> None-> 2-> [3-> None]]],4,2.18,485286.8,1.18,53.03,259766.6,66.599
Average,[0-> [1-> None-> 2-> [3-> None]]],6,3.27,677149.8,2.3,70.505,566151.6,88.374
Average,[0-> [1-> None-> 2-> [3-> None]]],10,5.27,1069889.1,4.3,80.721,1013405.7,95.922
Average,[0-> [1-> None-> 2-> [3-> None]]],16,8.24,1583539.2,7.33,88.56,1568665.6,98.349
Average,[0-> [1-> None-> 2-> [3-> None]]],26,12.81,2552461.1,11.96,93.43,2543607.6,99.536
Average,[0-> [1-> None-> 2-> [3-> None]]],50,24.27,4940678.7,23.39,96.313,4934240.6,99.78
Average,[0-> [1-> None-> 2-> [3-> None]]],100,49.66,10848742.7,48.78,98.234,10847162.2,99.969
Average,[0-> [1-> None-> 2-> [3-> None]]],500,249.3,59121562.3,248.27,99.588,59120512.8,99.997
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,499.45,117859029,498.51,99.812,117858791.3,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],2000,996.27,229124324.9,995.18,99.89,229123927.8,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],5000,2483.93,569018162.6,2482.57,99.945,569018062.8,99.999
