stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftformula,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,0.81,0.81,0.000,0.96,187629.1,0.3,23.377,70502.6,26.098
Average,[0-> [1-> None-> 2-> [3-> None]]],4,1.13,1.34,11.680,1.96,414185.1,1.1,54.058,305987.9,68.471
Average,[0-> [1-> None-> 2-> [3-> None]]],6,1.32,1.93,24.045,2.96,643122.6,2.1,68.503,563460.1,85.621
Average,[0-> [1-> None-> 2-> [3-> None]]],10,1.97,3.05,49.263,4.96,1094763.3,4.1,81.449,1048920.9,95.228
Average,[0-> [1-> None-> 2-> [3-> None]]],16,3.27,4.68,69.420,7.94,1779635.3,7.1,88.696,1753137.0,98.238
Average,[0-> [1-> None-> 2-> [3-> None]]],26,5.56,7.37,82.030,12.93,2914572.5,12.0,93.077,2898864.4,99.350
Average,[0-> [1-> None-> 2-> [3-> None]]],50,11.21,13.70,91.078,24.91,5662461.9,24.0,96.404,5654174.1,99.822
Average,[0-> [1-> None-> 2-> [3-> None]]],100,23.18,26.72,95.686,49.90,11373878.1,49.0,98.204,11369746.8,99.956
Average,[0-> [1-> None-> 2-> [3-> None]]],500,120.99,128.89,99.174,249.89,56992488.7,248.9,99.623,56991687.0,99.998
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,244.34,255.57,99.591,499.91,114090186.9,498.9,99.802,114089769.6,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],2000,491.96,508.16,99.797,1000.11,228240779.9,999.0,99.888,228240528.8,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],5000,1230.02,1256.08,99.919,2486.09,569317241.7,2484.7,99.944,569317027.2,99.999
