iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
1000,Average,1:16,2,0.99,2.336,0.99,674447.64,674447.64,0.72,69.36,581340.61,68.772,581340.61,68.772,0.72,69.36,581340.61,68.772,581340.61,68.772
1000,Average,1:16,3,1.50,16.771,1.50,1076538.32,1076538.32,1.20,82.79,965323.30,85.867,965323.30,85.867,1.20,82.79,965323.30,85.867,965323.30,85.867
1000,Average,1:16,4,2.00,30.758,2.00,1485834.05,1485834.05,1.72,87.44,1378033.49,91.325,1378033.49,91.325,1.72,87.44,1378033.49,91.325,1378033.49,91.325
1000,Average,1:16,5,2.50,40.867,2.50,1888113.42,1888113.42,2.22,89.91,1779972.13,93.563,1779972.13,93.563,2.22,89.91,1779972.13,93.563,1779972.13,93.563
1000,Average,1:16,10,5.00,65.956,5.00,3890729.54,3890729.54,4.73,94.81,3784614.31,97.139,3784614.31,97.139,4.73,94.81,3784614.31,97.139,3784614.31,97.139
1000,Average,1:16,15,7.49,76.091,7.49,5888788.50,5888788.50,7.22,96.49,5781758.84,98.129,5781758.84,98.129,7.22,96.49,5781758.84,98.129,5781758.84,98.129
1000,Average,1:16,25,12.50,85.044,12.50,9894208.22,9894208.22,12.23,97.91,9788243.36,98.909,9788243.36,98.909,12.23,97.91,9788243.36,98.909,9788243.36,98.909
1000,Average,1:16,50,24.99,92.267,24.99,19894063.39,19894063.39,24.73,98.94,19788038.02,99.462,19788038.02,99.462,24.73,98.94,19788038.02,99.462,19788038.02,99.462
1000,Average,1:16,100,49.99,96.068,49.99,39893056.84,39893056.84,49.73,99.47,39786977.80,99.733,39786977.80,99.733,49.73,99.47,39786977.80,99.733,39786977.80,99.733
1000,Average,1:16,500,249.98,99.202,249.98,199885076.44,199885076.44,249.72,99.89,199778489.71,99.946,199778489.71,99.946,249.72,99.89,199778489.71,99.946,199778489.71,99.946
1000,Average,1:16,1000,499.97,99.600,499.97,399932138.13,399932138.13,499.70,99.94,399826141.62,99.973,399826141.62,99.973,499.70,99.94,399826141.62,99.973,399826141.62,99.973
